"id","hrs1","class","region","racehisp"
2,40,"Working","Middle Atlantic","Other"
3,35,"Working","Middle Atlantic","Black"
5,43,"Working","Middle Atlantic","Black"
7,40,"Upper","Middle Atlantic","Black"
8,30,"Lower","Middle Atlantic","Black"
9,40,"Working","Middle Atlantic","Black"
11,45,"Middle","Middle Atlantic","Black"
12,40,"Middle","Middle Atlantic","Black"
17,55,"Working","Middle Atlantic","White"
19,20,"Middle","Middle Atlantic","White"
20,40,"Working","Middle Atlantic","Other"
22,35,"Middle","Middle Atlantic","White"
27,40,"Working","Middle Atlantic","Black"
28,50,"Middle","Middle Atlantic","Other"
29,80,"Working","Middle Atlantic","Black"
30,3,"Middle","Middle Atlantic","White"
32,40,"Working","Middle Atlantic","Hispanic"
33,40,"Working","Middle Atlantic","Hispanic"
34,38,"Working","Middle Atlantic","Hispanic"
36,50,"Middle","Middle Atlantic","White"
37,40,"Working","Middle Atlantic","Other"
38,22,"Middle","Middle Atlantic","White"
43,40,"Working","Middle Atlantic","Hispanic"
44,40,"Working","Middle Atlantic","White"
46,45,"Middle","New England","Other"
47,60,"Middle","New England","White"
48,32,"Middle","New England","White"
50,50,"Middle","New England","White"
51,32,"Middle","New England","White"
52,30,"Upper","New England","White"
54,16,"Middle","New England","White"
55,40,"Working","Middle Atlantic","White"
56,46,"Working","Middle Atlantic","Black"
57,30,"Middle","Middle Atlantic","Black"
60,55,"Working","Middle Atlantic","Black"
61,1,"Middle","Middle Atlantic","White"
63,60,"Working","Middle Atlantic","Black"
64,40,"Working","Middle Atlantic","Hispanic"
66,40,"Lower","Middle Atlantic","Hispanic"
67,72,"Working","Middle Atlantic","Hispanic"
70,25,"Middle","Middle Atlantic","White"
72,40,"Working","Middle Atlantic","White"
74,40,"Lower","Middle Atlantic","White"
78,43,"Working","Middle Atlantic","White"
79,45,"Working","Middle Atlantic","White"
80,40,"Working","Middle Atlantic","Hispanic"
81,40,"Middle","Middle Atlantic","White"
83,40,"Middle","Middle Atlantic","Black"
85,40,"Middle","Middle Atlantic","Hispanic"
88,40,"Working","Middle Atlantic","White"
89,24,"Working","Middle Atlantic","White"
90,60,"Upper","Middle Atlantic","White"
91,40,"Working","Middle Atlantic","White"
93,20,"Working","Middle Atlantic","White"
94,30,"Middle","Middle Atlantic","White"
95,65,"Middle","Middle Atlantic","White"
97,45,"Middle","Middle Atlantic","White"
99,85,"Working","Middle Atlantic","White"
100,40,"Working","Middle Atlantic","White"
101,40,"Middle","Middle Atlantic","White"
107,40,"Working","Middle Atlantic","Hispanic"
108,37,"Working","Middle Atlantic","White"
109,65,"Middle","Middle Atlantic","Hispanic"
110,50,"Middle","Middle Atlantic","White"
111,40,"Upper","Middle Atlantic","White"
113,24,"Upper","Middle Atlantic","White"
115,40,"Working","Middle Atlantic","White"
117,30,"Middle","Middle Atlantic","White"
119,30,"Upper","Middle Atlantic","White"
120,50,"Middle","Middle Atlantic","White"
121,40,"Middle","Middle Atlantic","White"
122,30,"Middle","Middle Atlantic","White"
123,45,"Middle","Middle Atlantic","Other"
124,65,"Middle","Middle Atlantic","White"
125,40,"Working","West","Hispanic"
126,60,"Working","West","Hispanic"
127,40,"Middle","West","Hispanic"
129,40,"Working","West","Hispanic"
130,45,"Middle","West","White"
132,35,"Working","West","White"
133,45,"Middle","West","White"
135,50,"Middle","West","White"
136,42,"Middle","West","White"
137,50,"Middle","West","White"
139,65,"Middle","West","White"
141,38,"Middle","West","Hispanic"
142,10,"Working","West","Black"
143,4,"Working","West","White"
145,40,"Middle","West","White"
146,40,"Middle","West","Other"
148,60,"Middle","West","White"
150,40,"Lower","West","Hispanic"
151,30,"Working","West","Hispanic"
152,37,"Working","West","Hispanic"
154,19,"Middle","West","White"
159,45,"Working","West","Hispanic"
160,40,"Working","West","Hispanic"
161,40,"Middle","West","Hispanic"
162,56,"Working","West","Hispanic"
163,50,"Working","West","Hispanic"
168,40,"Middle","West","Hispanic"
169,40,"Lower","West","Hispanic"
173,40,"Working","West","Hispanic"
175,4,"Middle","West","White"
178,40,"Middle","West","Black"
179,36,"Working","West","Hispanic"
180,35,"Middle","West","White"
181,40,"Middle","West","White"
182,40,"Working","West","White"
183,50,"Working","West","Hispanic"
186,47,"Middle","West","White"
187,50,"Middle","West","White"
188,40,"Middle","West","White"
189,60,"Working","West","White"
190,40,"Working","West","Hispanic"
191,40,"Working","West","Other"
192,20,"Middle","West","White"
193,38,"Middle","Midwest","White"
196,46,"Working","Midwest","Black"
200,16,"Working","Midwest","Black"
201,40,"Working","Midwest","Black"
203,30,"Working","Midwest","Hispanic"
204,38,"Middle","Midwest","White"
205,37,"Middle","Midwest","Hispanic"
206,24,"Working","Midwest","Hispanic"
207,12,"Working","Midwest","Hispanic"
210,40,"Working","Midwest","Black"
211,8,"Working","Midwest","White"
212,41,"Middle","Midwest","White"
214,45,"Middle","Midwest","White"
215,20,"Middle","Midwest","White"
216,73,"Middle","Midwest","White"
218,40,"Middle","Midwest","White"
219,37,"Middle","Midwest","Black"
220,52,"Middle","Midwest","White"
221,8,"Middle","Midwest","White"
222,45,"Middle","Midwest","White"
225,20,"Working","Midwest","Black"
227,43,"Middle","Midwest","Hispanic"
230,4,"Working","Midwest","Other"
231,47,"Middle","Midwest","White"
233,40,"Middle","Midwest","White"
234,64,"Working","Midwest","Black"
235,68,"Working","Midwest","White"
236,40,"Working","Midwest","Hispanic"
237,40,"Working","Midwest","Black"
238,40,"Working","Midwest","Black"
240,50,"Middle","Midwest","Black"
242,18,"Middle","Midwest","White"
243,40,"Middle","Midwest","White"
244,80,"Middle","Midwest","White"
245,60,"Working","Midwest","White"
246,40,"Working","Midwest","White"
247,60,"Working","Midwest","White"
250,50,"Middle","West","Black"
252,42,"Middle","West","White"
253,50,"Middle","West","Other"
254,48,"Middle","West","Hispanic"
255,2,"Middle","West","Other"
256,52,"Working","West","White"
257,40,"Middle","West","Other"
258,60,"Middle","West","White"
259,40,"Working","West","Hispanic"
261,30,"Middle","West","Other"
263,48,"Lower","West","Hispanic"
264,48,"Working","West","White"
267,40,"Middle","West","Other"
270,89,"Middle","West","Other"
271,30,"Working","West","Other"
272,60,"Working","West","White"
274,48,"Working","West","Hispanic"
276,89,"Working","West","Other"
