"id","mntlhlth","degree"
1,20,"Some college"
3,3,"College degree"
4,1,"College degree"
7,0,"High school"
8,1,"High school"
9,10,"Less than high school"
10,10,"High school"
11,0,"Grad/Prof degree"
12,0,"High school"
14,0,"College degree"
16,0,"High school"
19,0,"Grad/Prof degree"
20,9,"Grad/Prof degree"
21,0,"High school"
23,0,"Some college"
24,5,"High school"
25,1,"College degree"
27,5,"High school"
34,10,"College degree"
35,0,"Less than high school"
36,1,"Grad/Prof degree"
37,0,"Grad/Prof degree"
38,0,"Grad/Prof degree"
39,0,"Grad/Prof degree"
41,7,"High school"
42,10,"High school"
46,15,"High school"
47,0,"Grad/Prof degree"
52,1,"High school"
53,11,"Grad/Prof degree"
55,0,"College degree"
56,0,"College degree"
60,5,"High school"
62,0,"Less than high school"
63,0,"College degree"
67,0,"High school"
69,0,"Grad/Prof degree"
72,0,"Some college"
74,0,"Grad/Prof degree"
76,0,"Some college"
77,5,"College degree"
82,3,"High school"
83,3,"High school"
84,0,"High school"
85,0,"High school"
86,0,"College degree"
87,0,"High school"
88,0,"High school"
89,5,"Grad/Prof degree"
90,1,"Grad/Prof degree"
91,1,"Grad/Prof degree"
92,3,"Grad/Prof degree"
93,1,"Grad/Prof degree"
95,0,"College degree"
98,0,"College degree"
101,0,"Less than high school"
103,0,"Grad/Prof degree"
105,0,"Grad/Prof degree"
106,2,"High school"
108,0,"High school"
109,0,"College degree"
111,0,"Some college"
112,0,"High school"
115,0,"College degree"
116,0,"College degree"
119,1,"High school"
120,1,"High school"
122,0,"High school"
123,3,"College degree"
124,0,"College degree"
125,0,"College degree"
126,2,"Grad/Prof degree"
127,0,"Grad/Prof degree"
128,0,"College degree"
129,0,"Grad/Prof degree"
130,2,"Grad/Prof degree"
133,2,"College degree"
134,3,"High school"
135,20,"High school"
138,3,"College degree"
139,0,"Less than high school"
140,5,"High school"
141,0,"Some college"
142,3,"High school"
145,0,"High school"
148,7,"College degree"
150,0,"Grad/Prof degree"
151,0,"Grad/Prof degree"
154,0,"College degree"
155,0,"Less than high school"
156,2,"Less than high school"
157,0,"High school"
159,0,"Less than high school"
160,15,"Less than high school"
163,8,"High school"
167,15,"Less than high school"
169,0,"Some college"
170,0,"High school"
172,0,"High school"
173,0,"High school"
175,0,"Grad/Prof degree"
177,1,"Grad/Prof degree"
178,1,"High school"
179,1,"College degree"
183,0,"Grad/Prof degree"
184,2,"Grad/Prof degree"
185,3,"College degree"
188,0,"College degree"
190,0,"High school"
191,1,"High school"
194,10,"College degree"
196,3,"College degree"
197,1,"Less than high school"
198,0,"High school"
199,0,"College degree"
200,0,"High school"
201,14,"College degree"
207,14,"High school"
209,20,"Grad/Prof degree"
212,0,"High school"
216,0,"Some college"
218,0,"Less than high school"
220,3,"High school"
221,10,"Grad/Prof degree"
222,5,"College degree"
223,0,"High school"
224,0,"High school"
225,0,"College degree"
226,15,"High school"
228,6,"College degree"
231,0,"High school"
232,6,"College degree"
233,0,"College degree"
235,5,"High school"
236,2,"College degree"
237,0,"Less than high school"
239,0,"Grad/Prof degree"
241,0,"Some college"
242,3,"High school"
243,0,"High school"
244,10,"High school"
247,5,"High school"
252,0,"College degree"
257,30,"High school"
258,2,"College degree"
260,0,"High school"
262,0,"College degree"
263,20,"College degree"
264,2,"College degree"
267,0,"College degree"
268,10,"Some college"
269,0,"College degree"
270,2,"High school"
271,2,"High school"
272,0,"College degree"
273,1,"High school"
274,0,"Grad/Prof degree"
276,3,"College degree"
277,0,"Grad/Prof degree"
278,3,"High school"
279,0,"High school"
280,0,"College degree"
281,3,"High school"
282,0,"High school"
283,0,"High school"
288,0,"High school"
289,0,"High school"
291,1,"College degree"
292,3,"Grad/Prof degree"
293,0,"High school"
294,2,"High school"
296,2,"College degree"
299,2,"Grad/Prof degree"
300,0,"College degree"
301,2,"College degree"
303,0,"High school"
304,0,"Grad/Prof degree"
305,0,"High school"
306,0,"High school"
307,0,"College degree"
308,0,"Less than high school"
309,30,"High school"
312,0,"College degree"
313,0,"Grad/Prof degree"
314,0,"Grad/Prof degree"
315,10,"High school"
316,5,"College degree"
319,0,"Grad/Prof degree"
320,0,"High school"
322,0,"High school"
331,7,"Some college"
332,0,"Grad/Prof degree"
337,14,"Grad/Prof degree"
338,0,"Grad/Prof degree"
339,2,"College degree"
340,0,"College degree"
341,15,"Grad/Prof degree"
343,0,"College degree"
344,0,"Grad/Prof degree"
347,10,"High school"
351,0,"Grad/Prof degree"
355,0,"Grad/Prof degree"
357,0,"Less than high school"
358,0,"Grad/Prof degree"
359,0,"Some college"
360,0,"High school"
363,15,"High school"
364,0,"College degree"
365,15,"Some college"
367,0,"Grad/Prof degree"
368,1,"College degree"
369,6,"Grad/Prof degree"
371,2,"College degree"
372,6,"College degree"
373,5,"College degree"
375,2,"College degree"
381,0,"High school"
384,10,"College degree"
385,0,"Grad/Prof degree"
386,2,"College degree"
387,5,"College degree"
388,10,"Grad/Prof degree"
389,0,"Some college"
391,15,"High school"
392,3,"Grad/Prof degree"
395,25,"Less than high school"
396,0,"High school"
398,0,"Grad/Prof degree"
401,2,"College degree"
404,0,"Less than high school"
408,0,"High school"
410,3,"High school"
412,0,"High school"
413,0,"High school"
414,0,"Some college"
416,0,"College degree"
417,0,"High school"
420,10,"College degree"
422,0,"Some college"
423,2,"High school"
424,0,"High school"
425,1,"High school"
426,0,"Grad/Prof degree"
427,0,"Grad/Prof degree"
428,0,"Grad/Prof degree"
429,2,"College degree"
430,0,"High school"
431,0,"College degree"
432,0,"College degree"
434,0,"College degree"
439,0,"Grad/Prof degree"
440,0,"High school"
441,2,"Grad/Prof degree"
442,15,"College degree"
447,5,"High school"
448,5,"College degree"
451,0,"High school"
454,1,"College degree"
455,0,"Grad/Prof degree"
461,0,"College degree"
463,2,"Some college"
464,5,"College degree"
467,1,"Some college"
469,2,"College degree"
470,0,"High school"
472,3,"Grad/Prof degree"
474,0,"Grad/Prof degree"
477,5,"Grad/Prof degree"
478,2,"College degree"
480,15,"High school"
481,1,"Grad/Prof degree"
482,4,"High school"
484,10,"High school"
487,3,"College degree"
489,0,"Less than high school"
491,5,"College degree"
492,0,"Grad/Prof degree"
493,3,"Grad/Prof degree"
495,0,"College degree"
496,15,"Less than high school"
497,0,"High school"
499,0,"Less than high school"
501,0,"High school"
502,0,"College degree"
503,0,"College degree"
504,0,"High school"
505,0,"High school"
507,0,"Grad/Prof degree"
508,2,"College degree"
509,0,"Grad/Prof degree"
510,1,"College degree"
511,0,"Grad/Prof degree"
512,0,"College degree"
514,3,"College degree"
516,0,"High school"
519,7,"College degree"
522,7,"High school"
523,0,"High school"
524,3,"High school"
525,2,"High school"
527,0,"High school"
528,2,"High school"
530,3,"High school"
531,0,"High school"
533,0,"High school"
534,0,"Grad/Prof degree"
536,0,"High school"
538,2,"College degree"
539,5,"High school"
540,5,"High school"
541,25,"Grad/Prof degree"
543,0,"College degree"
544,0,"High school"
545,5,"Some college"
551,1,"College degree"
552,1,"High school"
553,2,"College degree"
555,0,"College degree"
556,0,"Some college"
559,1,"College degree"
560,20,"Grad/Prof degree"
562,0,"High school"
563,2,"College degree"
564,0,"College degree"
565,1,"High school"
567,0,"College degree"
569,0,"College degree"
571,10,"Grad/Prof degree"
573,5,"Grad/Prof degree"
574,0,"High school"
576,0,"High school"
578,2,"High school"
579,0,"High school"
581,10,"Grad/Prof degree"
582,0,"High school"
583,8,"High school"
584,14,"High school"
585,30,"High school"
586,0,"Less than high school"
587,0,"College degree"
588,0,"Some college"
589,25,"College degree"
590,0,"High school"
592,0,"College degree"
593,0,"High school"
594,0,"High school"
596,0,"High school"
597,0,"High school"
599,0,"Grad/Prof degree"
600,0,"High school"
603,0,"High school"
608,0,"High school"
611,3,"Less than high school"
612,0,"Less than high school"
613,0,"Less than high school"
622,2,"High school"
623,2,"Grad/Prof degree"
624,0,"High school"
626,0,"High school"
628,7,"Grad/Prof degree"
630,10,"College degree"
633,0,"High school"
634,0,"High school"
635,0,"Grad/Prof degree"
636,0,"High school"
637,0,"High school"
639,10,"High school"
640,0,"High school"
641,0,"College degree"
642,0,"High school"
643,0,"Some college"
644,0,"High school"
646,0,"Grad/Prof degree"
647,3,"High school"
648,2,"Less than high school"
653,2,"Grad/Prof degree"
654,3,"College degree"
655,0,"High school"
657,0,"High school"
658,0,"High school"
660,0,"High school"
662,0,"High school"
664,5,"High school"
665,0,"College degree"
666,0,"College degree"
667,0,"Some college"
668,7,"College degree"
670,5,"High school"
671,0,"College degree"
672,0,"High school"
673,0,"High school"
675,0,"Some college"
677,0,"High school"
679,0,"High school"
681,0,"High school"
682,0,"College degree"
683,0,"Some college"
685,0,"High school"
691,0,"High school"
692,30,"High school"
693,0,"Grad/Prof degree"
695,0,"High school"
