"","super_opeid","cohort","name","type","tier","tier_name","iclevel","region","state","cz","czname","cfips","county","multi","count","female","married","mr_kq5_pq1","mr_ktop1_pq1","par_mean","par_median","par_rank","par_q1","par_q2","par_q3","par_q4","par_q5","par_top10pc","par_top5pc","par_top1pc","par_toppt1pc","k_rank","k_mean","k_median","k_median_nozero","k_0inc","k_q1","k_q2","k_q3","k_q4","k_q5","k_top10pc","k_top5pc","k_top1pc","k_rank_cond_parq1","k_rank_cond_parq2","k_rank_cond_parq3","k_rank_cond_parq4","k_rank_cond_parq5","kq1_cond_parq1","kq2_cond_parq1","kq3_cond_parq1","kq4_cond_parq1","kq5_cond_parq1","kq1_cond_parq2","kq2_cond_parq2","kq3_cond_parq2","kq4_cond_parq2","kq5_cond_parq2","kq1_cond_parq3","kq2_cond_parq3","kq3_cond_parq3","kq4_cond_parq3","kq5_cond_parq3","kq1_cond_parq4","kq2_cond_parq4","kq3_cond_parq4","kq4_cond_parq4","kq5_cond_parq4","kq1_cond_parq5","kq2_cond_parq5","kq3_cond_parq5","kq4_cond_parq5","kq5_cond_parq5","ktop1pc_cond_parq1","ktop1pc_cond_parq2","ktop1pc_cond_parq3","ktop1pc_cond_parq4","ktop1pc_cond_parq5"
"1",30955,1991,"ASA Institute Of Business & Computer Technology","Private For-profit","Two-year for-profit","Two-year for-profit","Two-year","Northeast","NY",19400,"New York",36047,"Kings",0,954,0.569359839,0.059579868,0.047728721,0,32356.42773,24200,0.294834942,0.400489259,0.305665303,0.2043008,0.067084045,0.022460593,0.006048861,0.002508412,0.000590142,6.91e-06,0.462996673,11527.09277,9700,11200,0.155159965,0.160288128,0.266551861,0.270788626,0.181228605,0.12114278,0.038124468,0.010351647,0.000455912,0.461967707,0.447367638,0.483128756,0.470316976,0.489054203,0.154232739,0.280151174,0.273192455,0.173247599,0.119176033,0.171193233,0.251187759,0.313019711,0.155183445,0.109415853,0.159134075,0.255226556,0.200345815,0.25546681,0.129826744,0.140288237,0.279782021,0.296353596,0.135773204,0.147802942,0.190084922,0.296654817,0.217594851,0.138478916,0.157186494,0,0.000298562,0,0.000672074,0.014227887
"2",3537,1991,"Abilene Christian University","Private Non-profit","Selective private","Selective private","Four-year","South","TX",32501,"Abilene",48441,"Taylor",0,777,0.555651128,0.19501403,0.007797785,0.001321237,178068.4844,117000,0.745166481,0.036920667,0.064090306,0.117116607,0.23917198,0.54270044,0.335053802,0.187990636,0.034672361,0.00039525,0.551808649,17040.39063,13800,15500,0.074061416,0.08945077,0.282127035,0.167378657,0.21205567,0.248987869,0.141679719,0.084692754,0.015837661,0.481090218,0.565409124,0.537071884,0.540981829,0.562965274,0.070077028,0.345262397,0.246514957,0.126941831,0.211203787,0.046873704,0.289081498,0.142255812,0.275514581,0.246274405,0.047235105,0.335574407,0.15612546,0.287567052,0.173497977,0.070373288,0.280060981,0.219919741,0.168848247,0.260797744,0.113314807,0.266386959,0.144235037,0.213098099,0.262965099,0.035785839,0.019600263,0.022622244,0.001081949,0.019075026
"3",1541,1991,"Abraham Baldwin Agricultural College","Public","Nonselective four-year public","Nonselective four-year public","Four-year","South","GA",8503,"Valdosta",13277,"Tift",0,824,0.508431435,0.163582861,0.020099146,0,80548.48438,49600,0.505506754,0.161569532,0.239271685,0.213098154,0.218650437,0.167410192,0.070444696,0.029857485,0.007144425,0.001270661,0.527401489,14645.43164,12600,14800,0.122952625,0.126189508,0.225681196,0.227236478,0.222293127,0.19859969,0.092261523,0.035973281,0.001694154,0.509554923,0.513270795,0.537353516,0.554204285,0.517147243,0.125891444,0.239245239,0.225072081,0.285391881,0.124399355,0.142819783,0.219251216,0.272816551,0.192227436,0.172885014,0.156749355,0.192176756,0.180251686,0.271443741,0.199378462,0.108872888,0.225868915,0.207700728,0.20649715,0.251060319,0.086425167,0.264183423,0.249502463,0.162433718,0.237455229,0,0,0,0.005105138,0.003452082
"4",7531,1991,"Academy Of Art University","Private For-profit","Four-year for-profit","Four-year for-profit","Four-year","West","CA",37800,"San Francisco",6075,"San Francisco",0,1302,0.587343037,0.051177174,0.017692579,8.66e-05,121805.7734,66500,0.58358717,0.125515487,0.172041499,0.197630802,0.225671072,0.279141139,0.170003742,0.09576907,0.022093808,0.002364655,0.455894908,12294.34082,9400,13400,0.215188831,0.218580211,0.244027219,0.198374638,0.192633693,0.146384238,0.064295784,0.029114788,0.009533347,0.448601723,0.455079734,0.438966066,0.466438264,0.463138491,0.261407534,0.190938496,0.230378996,0.176315644,0.14095933,0.199501471,0.263780768,0.208182546,0.181746097,0.146789118,0.241334079,0.26958892,0.188688817,0.172007691,0.128380492,0.186257452,0.242770407,0.217876701,0.225293334,0.127802107,0.221103269,0.238642393,0.169030184,0.194880885,0.176343269,0.000690222,0.008680648,0,0.004146121,0.02514005
"5",1345,1991,"Adams State University","Public","Selective public","Selective public","Four-year","West","CO",34805,"Alamosa",8003,"Alamosa",0,461,0.485729963,0.176515698,0.029264545,0.002239244,79260.41406,60500,0.540941298,0.115817723,0.188721046,0.226037827,0.291559706,0.177863698,0.072743289,0.033278767,0.001067035,5.89e-05,0.513267405,13781.90332,11600,12800,0.083948009,0.085716213,0.298772729,0.23072335,0.21352508,0.171262627,0.064227171,0.024230802,0.002404909,0.492877036,0.507285535,0.507364988,0.539348483,0.497639984,0.130365856,0.313233682,0.193970667,0.109752189,0.252677606,0.062334397,0.287262775,0.245070221,0.244259502,0.161073104,0.088921129,0.289369459,0.271725514,0.193792008,0.15619189,0.06750138,0.277989661,0.214307837,0.261154489,0.179046633,0.107236624,0.347587276,0.214233857,0.195489428,0.135452815,0.019334207,0.000430946,0,0,0.000474162
"6",2666,1991,"Adelphi University","Private Non-profit","Selective private","Selective private","Four-year","Northeast","NY",19400,"New York",36059,"Nassau",0,949,0.694509149,0.045243345,0.009710522,0,165345.6094,105200,0.707249761,0.052999872,0.095328182,0.150354127,0.222751476,0.478566343,0.265588105,0.109033547,0.022617454,0.005258826,0.54234647,17517.58984,12400,15000,0.122216955,0.12464881,0.231247344,0.213467106,0.167625639,0.263011101,0.154986665,0.095387839,0.029777332,0.484307081,0.539848685,0.568403482,0.544672191,0.540002704,0.105136275,0.248977265,0.249698038,0.212970588,0.183217836,0.162391491,0.204714214,0.169673323,0.183493681,0.279727292,0.119273198,0.195007164,0.2186999,0.153251185,0.313768553,0.11682358,0.26993491,0.201818602,0.156774604,0.254648303,0.12462279,0.22794753,0.221955993,0.169009761,0.256463926,0,0.044044426,0.035021723,0.032933639,0.027116365
"7",2860,1991,"Adirondack Community College - SUNY Office Of Community Colleges","Public","Two-year (public and private not-for-profit)","Two-year (public and private not-for-profit)","Two-year","Northeast","NY",18600,"Albany",36113,"Warren",0,767,0.529363811,0.0850624,0.021946239,5.36e-05,76548.28125,62100,0.549966514,0.131928974,0.156393787,0.246264125,0.305192922,0.160220192,0.041516773,0.017129596,0.001718971,0,0.580286713,16580.6543,15800,17100,0.07242313,0.08178524,0.18284017,0.22981268,0.275135517,0.230426392,0.096181482,0.03078822,0.001899947,0.546536148,0.561864972,0.57970494,0.622006476,0.547484457,0.09828589,0.247453363,0.24045054,0.247461312,0.166348895,0.082597384,0.232624257,0.193496284,0.272346549,0.218935526,0.079678302,0.176788,0.229427518,0.303067666,0.211038515,0.072086298,0.125077611,0.227730129,0.279836818,0.295269144,0.089118796,0.200371562,0.261061228,0.248757547,0.200690868,0.000406186,0,0.000204368,0.004800604,0.002065413
"8",2234,1991,"Adrian College","Private Non-profit","Selective private","Selective private","Four-year","Midwest","MI",11500,"Jackson",26091,"Lenawee",0,360,0.492804885,0.055539574,0.016754458,6.14e-05,91591.71094,87600,0.646080911,0.075582987,0.090359059,0.171189197,0.329389261,0.333479496,0.124140345,0.031800922,0,0,0.546099003,15551.01855,12900,13600,0.053552158,0.052227357,0.284169058,0.247030809,0.216337532,0.200235244,0.085117742,0.044724505,0.010856286,0.519030273,0.550533772,0.553966463,0.552344978,0.540824413,0.070610597,0.341337321,0.259102128,0.107280263,0.221669692,0.038652043,0.311961258,0.242232918,0.223861458,0.183292323,0.031411232,0.340147171,0.240004553,0.160544318,0.227892726,0.050408524,0.278402287,0.20325426,0.270573438,0.197361491,0.064221474,0.240641461,0.29244137,0.214086988,0.188608707,0.000812967,0,0.016516621,0.007903958,0.016084627
"9",11484,1991,"Advanced Institute Of Hair Design","Private For-profit","Two-year for-profit","Two-year for-profit","Two-year","Midwest","WI",24100,"Milwaukee",55079,"Milwaukee",0,128,0.941837072,0.082643822,0.023741644,0.000224588,76438.91406,81700,0.601250172,0.053777994,0.128494928,0.237929556,0.383647584,0.196149937,0.038872495,0.027412722,0,0,0.599006639,17143.88281,17500,18800,0.082974449,0.082256988,0.12840433,0.195992395,0.389641031,0.203705256,0.046336707,0.037860312,0.001048064,0.620241702,0.669441462,0.493240625,0.61440599,0.645218432,0.075355209,0.232545427,0,0.250624291,0.441475074,0.066112664,0.026760282,0.299425889,0.226124889,0.381576276,0.132797969,0.167237128,0.293943118,0.270675011,0.135346774,0.069814984,0.109111649,0.199614027,0.503540073,0.117919268,0.057754198,0.157067941,0.056071864,0.456403613,0.272702384,0.004176207,0,0.003461007,0,0
"10",31275,1991,"Advanced Technology Institute","Private For-profit","Two-year for-profit","Two-year for-profit","Two-year","South","VA",2000,"Virginia Beach",51810,"Virginia Beach City",0,235,0.022204425,0.058536362,0.047362297,0.004253514,64814.83594,39500,0.441942006,0.226639414,0.265177901,0.229036996,0.19119436,0.087951329,0.044107147,0.011193491,0.004044187,0,0.602121471,18595.30664,16600,18300,0.075900026,0.078894439,0.187857279,0.19048983,0.229965804,0.312792648,0.173318505,0.082088366,0.004366035,0.540475905,0.58973521,0.587891281,0.687287092,0.650238216,0.09434116,0.279404847,0.225146288,0.19213127,0.208976436,0.082774225,0.213945651,0.145541181,0.279746364,0.277992579,0.079535289,0.219163681,0.178332392,0.201785861,0.321182776,0.047735075,0.067364616,0.180766089,0.278550134,0.425584085,0.093459849,0.053701789,0.289504783,0.145138108,0.418195471,0.01876776,0,2.03e-05,0,0.001226427
