"county_fips","name","hhincome"
46063,"Harding County, SD",70996
38011,"Bowman County, ND",68611
38037,"Grant County, ND",67124
38007,"Billings County, ND",67024
38033,"Golden Valley County, ND",66268
38025,"Dunn County, ND",64829
30109,"Wibaux County, MT",63724
31009,"Blaine County, NE",63072
46021,"Campbell County, SD",62558
38045,"LaMoure County, ND",62095
38065,"Oliver County, ND",61849
38087,"Slope County, ND",61431
46045,"Edmunds County, SD",60993
31063,"Frontier County, NE",60705
31115,"Loup County, NE",60656
38041,"Hettinger County, ND",59823
46119,"Sully County, SD",59801
38047,"Logan County, ND",59573
46043,"Douglas County, SD",59505
31149,"Rock County, NE",59267
38061,"Mountrail County, ND",58521
31085,"Hayes County, NE",58361
38089,"Stark County, ND",58176
20131,"Nemaha County, KS",58094
31027,"Cedar County, NE",58062
31091,"Hooker County, NE",57874
38013,"Burke County, ND",57497
38051,"McIntosh County, ND",57392
46067,"Hutchinson County, SD",57374
38019,"Cavalier County, ND",57335
48235,"Irion County, TX",57241
38009,"Bottineau County, ND",57202
56011,"Crook County, WY",56826
38043,"Kidder County, ND",56694
38053,"McKenzie County, ND",56383
31077,"Greeley County, NE",56327
19119,"Lyon County, IA",56192
38001,"Adams County, ND",56076
48393,"Roberts County, TX",56000
38091,"Steele County, ND",55964
27011,"Big Stone County, MN",55633
38029,"Emmons County, ND",55552
38095,"Towner County, ND",55547
38023,"Divide County, ND",55207
27155,"Traverse County, MN",55101
38063,"Nelson County, ND",55101
31011,"Boone County, NE",54979
27125,"Red Lake County, MN",54718
38075,"Renville County, ND",54703
49031,"Piute County, UT",54532
20199,"Wallace County, KS",54529
19109,"Kossuth County, IA",54458
38057,"Mercer County, ND",54451
31087,"Hitchcock County, NE",54407
19027,"Carroll County, IA",54395
46055,"Haakon County, SD",54389
20179,"Sheridan County, KS",54348
30019,"Daniels County, MT",54240
31039,"Cuming County, NE",53959
20081,"Haskell County, KS",53891
31163,"Sherman County, NE",53877
38105,"Williams County, ND",53855
46025,"Clark County, SD",53851
19161,"Sac County, IA",53834
31035,"Clay County, NE",53737
46073,"Jerauld County, SD",53709
27081,"Lincoln County, MN",53695
19167,"Sioux County, IA",53679
46077,"Kingsbury County, SD",53497
46087,"McCook County, SD",53466
38049,"McHenry County, ND",53358
46059,"Hand County, SD",53345
48461,"Upton County, TX",53336
32017,"Lincoln County, NV",53275
49017,"Garfield County, UT",53133
8017,"Cheyenne County, CO",53120
20083,"Hodgeman County, KS",53042
46061,"Hanson County, SD",52848
30025,"Fallon County, MT",52709
31015,"Boyd County, NE",52555
38039,"Griggs County, ND",52527
46049,"Faulk County, SD",52374
31107,"Knox County, NE",52322
30083,"Richland County, MT",52173
20025,"Clark County, KS",52127
31003,"Antelope County, NE",52110
31143,"Polk County, NE",52009
30097,"Sweet Grass County, MT",51914
31129,"Nuckolls County, NE",51822
31103,"Keya Paha County, NE",51771
46053,"Gregory County, SD",51770
46089,"McPherson County, SD",51760
46115,"Spink County, SD",51683
46125,"Turner County, SD",51586
38073,"Ransom County, ND",51562
27069,"Kittson County, MN",51547
31165,"Sioux County, NE",51327
31089,"Holt County, NE",51313
20203,"Wichita County, KS",51285
30091,"Sheridan County, MT",51258
31127,"Nemaha County, NE",51252
31179,"Wayne County, NE",51235
19055,"Delaware County, IA",51192
20071,"Greeley County, KS",51170
46097,"Miner County, SD",50946
46009,"Bon Homme County, SD",50777
31041,"Custer County, NE",50713
30095,"Stillwater County, MT",50545
19191,"Winneshiek County, IA",50525
30075,"Powder River County, MT",50525
30011,"Carter County, MT",50489
31075,"Grant County, NE",50481
38055,"McLean County, ND",50413
46003,"Aurora County, SD",50334
30021,"Dawson County, MT",50261
46069,"Hyde County, SD",50252
38103,"Wells County, ND",50242
48295,"Lipscomb County, TX",50239
49043,"Summit County, UT",50208
27121,"Pope County, MN",50204
27129,"Renville County, MN",50172
31125,"Nance County, NE",50161
19037,"Chickasaw County, IA",50147
40053,"Grant County, OK",50119
38069,"Pierce County, ND",50091
27089,"Marshall County, MN",50044
38081,"Sargent County, ND",50039
46039,"Deuel County, SD",49901
20023,"Cheyenne County, KS",49874
46111,"Sanborn County, SD",49871
46107,"Potter County, SD",49861
19009,"Audubon County, IA",49770
20039,"Decatur County, KS",49752
38021,"Dickey County, ND",49667
8091,"Ouray County, CO",49610
31117,"McPherson County, NE",49585
31181,"Webster County, NE",49553
27117,"Pipestone County, MN",49549
27045,"Fillmore County, MN",49522
38031,"Foster County, ND",49492
46105,"Perkins County, SD",49478
40025,"Cimarron County, OK",49413
56027,"Niobrara County, WY",49318
19141,"O'Brien County, IA",49312
27143,"Sibley County, MN",49273
40043,"Dewey County, OK",49256
27051,"Grant County, MN",49247
40059,"Harper County, OK",49223
46057,"Hamlin County, SD",49206
31023,"Butler County, NE",49184
38083,"Sheridan County, ND",49102
35021,"Harding County, NM",49091
31065,"Furnas County, NE",49033
40045,"Ellis County, OK",48981
31029,"Chase County, NE",48934
19149,"Plymouth County, IA",48924
31051,"Dixon County, NE",48803
16037,"Custer County, ID",48760
56017,"Hot Springs County, WY",48748
55091,"Pepin County, WI",48709
46079,"Lake County, SD",48666
31171,"Thomas County, NE",48660
38059,"Morton County, ND",48522
