countyfips,county_name,state,mobility
1001,Autauga,Alabama,38.4
1003,Baldwin,Alabama,39.6
1005,Barbour,Alabama,36.1
1007,Bibb,Alabama,39.1
1009,Blount,Alabama,42.0
1011,Bullock,Alabama,34.2
1013,Butler,Alabama,37.9
1015,Calhoun,Alabama,38.3
1017,Chambers,Alabama,35.4
1019,Cherokee,Alabama,37.0
1021,Chilton,Alabama,40.3
1023,Choctaw,Alabama,40.5
1025,Clarke,Alabama,39.9
1027,Clay,Alabama,40.9
1029,Cleburne,Alabama,43.9
1031,Coffee,Alabama,41.0
1033,Colbert,Alabama,38.8
1035,Conecuh,Alabama,38.5
1037,Coosa,Alabama,37.9
1039,Covington,Alabama,43.4
1041,Crenshaw,Alabama,44.0
1043,Cullman,Alabama,42.2
1045,Dale,Alabama,39.8
1047,Dallas,Alabama,35.5
1049,De Kalb,Alabama,42.4
1051,Elmore,Alabama,39.1
1053,Escambia,Alabama,40.2
1055,Etowah,Alabama,39.3
1057,Fayette,Alabama,42.8
1059,Franklin,Alabama,42.6
1061,Geneva,Alabama,38.6
1063,Greene,Alabama,34.8
1065,Hale,Alabama,37.2
1067,Henry,Alabama,37.7
1069,Houston,Alabama,38.1
1071,Jackson,Alabama,42.1
1073,Jefferson,Alabama,36.2
1075,Lamar,Alabama,44.3
1077,Lauderdale,Alabama,42.2
1079,Lawrence,Alabama,40.6
1081,Lee,Alabama,36.7
1083,Limestone,Alabama,38.9
1085,Lowndes,Alabama,34.7
1087,Macon,Alabama,33.7
1089,Madison,Alabama,37.1
1091,Marengo,Alabama,37.8
1093,Marion,Alabama,43.2
1095,Marshall,Alabama,41.7
1097,Mobile,Alabama,37.4
1099,Monroe,Alabama,38.1
1101,Montgomery,Alabama,34.3
1103,Morgan,Alabama,38.8
1105,Perry,Alabama,36.0
1107,Pickens,Alabama,37.7
1109,Pike,Alabama,40.0
1111,Randolph,Alabama,38.2
1113,Russell,Alabama,35.7
1115,St Clair,Alabama,40.8
1117,Shelby,Alabama,40.4
1119,Sumter,Alabama,35.7
1121,Talladega,Alabama,37.4
1123,Tallapoosa,Alabama,38.0
1125,Tuscaloosa,Alabama,37.3
1127,Walker,Alabama,41.1
1129,Washington,Alabama,43.1
1131,Wilcox,Alabama,35.1
1133,Winston,Alabama,41.1
2013,Aleutians East,Alaska,
2016,Aleutians West,Alaska,
2020,Anchorage,Alaska,44.1
2050,Bethel,Alaska,34.1
2060,Bristol Bay,Alaska,
2068,Denali,Alaska,
2070,Dillingham,Alaska,
2090,Fairbanks North Star,Alaska,45.0
2100,Haines,Alaska,
2110,Juneau,Alaska,41.7
2122,Kenai Peninsula,Alaska,47.3
2130,Ketchikan Gateway,Alaska,43.8
2150,Kodiak Island,Alaska,45.7
2164,Lake and Peninsula,Alaska,
2170,Matanuska Susitna,Alaska,47.7
2180,Nome,Alaska,30.7
2185,North Slope,Alaska,31.2
2188,Northwest Arctic,Alaska,31.3
2201,Prince Wales Ketchikan,Alaska,38.6
2220,Sitka,Alaska,38.0
2232,Skagway Hoonah Angoon,Alaska,
2240,Southeast Fairbanks,Alaska,50.7
2261,Valdez Cordova,Alaska,45.9
2270,Wade Hampton,Alaska,
2280,Wrangell Petersburg,Alaska,44.2
2282,Yakutat,Alaska,
2290,Yukon Koyukuk,Alaska,41.9
4001,Apache,Arizona,34.6
4003,Cochise,Arizona,42.9
4005,Coconino,Arizona,39.5
4007,Gila,Arizona,38.2
4009,Graham,Arizona,44.7
4011,Greenlee,Arizona,44.4
4012,La Paz,Arizona,37.2
4013,Maricopa,Arizona,40.7
4015,Mohave,Arizona,40.4
4017,Navajo,Arizona,35.8
4019,Pima,Arizona,39.0
4021,Pinal,Arizona,36.1
4023,Santa Cruz,Arizona,43.0
4025,Yavapai,Arizona,43.2
4027,Yuma,Arizona,44.0
5001,Arkansas,Arkansas,39.8
5003,Ashley,Arkansas,38.6
5005,Baxter,Arkansas,43.5
5007,Benton,Arkansas,44.0
5009,Boone,Arkansas,44.8
5011,Bradley,Arkansas,40.7
5013,Calhoun,Arkansas,
5015,Carroll,Arkansas,44.4
5017,Chicot,Arkansas,35.1
5019,Clark,Arkansas,41.0
5021,Clay,Arkansas,42.3
5023,Cleburne,Arkansas,46.8
5025,Cleveland,Arkansas,40.2
5027,Columbia,Arkansas,39.6
5029,Conway,Arkansas,42.9
5031,Craighead,Arkansas,41.2
5033,Crawford,Arkansas,41.0
5035,Crittenden,Arkansas,33.5
5037,Cross,Arkansas,39.0
5039,Dallas,Arkansas,37.1
5041,Desha,Arkansas,36.4
5043,Drew,Arkansas,38.1
5045,Faulkner,Arkansas,43.3
5047,Franklin,Arkansas,45.4
5049,Fulton,Arkansas,44.8
5051,Garland,Arkansas,40.2
5053,Grant,Arkansas,43.4
5055,Greene,Arkansas,40.7
5057,Hempstead,Arkansas,37.8
5059,Hot Spring,Arkansas,39.7
5061,Howard,Arkansas,39.0
5063,Independence,Arkansas,44.3
5065,Izard,Arkansas,44.1
5067,Jackson,Arkansas,38.6
5069,Jefferson,Arkansas,35.7
5071,Johnson,Arkansas,43.5
5073,Lafayette,Arkansas,36.1
5075,Lawrence,Arkansas,43.2
5077,Lee,Arkansas,37.4
5079,Lincoln,Arkansas,38.4
5081,Little River,Arkansas,41.4
5083,Logan,Arkansas,43.1
5085,Lonoke,Arkansas,39.9
5087,Madison,Arkansas,43.4
5089,Marion,Arkansas,44.1
5091,Miller,Arkansas,38.1
5093,Mississippi,Arkansas,36.9
5095,Monroe,Arkansas,39.8
5097,Montgomery,Arkansas,
5099,Nevada,Arkansas,39.8
5101,Newton,Arkansas,42.9
5103,Ouachita,Arkansas,37.5
5105,Perry,Arkansas,44.0
5107,Phillips,Arkansas,35.0
5109,Pike,Arkansas,45.3
5111,Poinsett,Arkansas,38.0
5113,Polk,Arkansas,45.3
5115,Pope,Arkansas,41.4
5117,Prairie,Arkansas,40.5
5119,Pulaski,Arkansas,35.8
5121,Randolph,Arkansas,43.0
5123,St Francis,Arkansas,35.1
5125,Saline,Arkansas,40.6
5127,Scott,Arkansas,42.7
5129,Searcy,Arkansas,46.9
5131,Sebastian,Arkansas,40.2
5133,Sevier,Arkansas,44.3
5135,Sharp,Arkansas,43.7
5137,Stone,Arkansas,40.0
5139,Union,Arkansas,37.4
5141,Van Buren,Arkansas,45.4
5143,Washington,Arkansas,42.8
5145,White,Arkansas,42.8
5147,Woodruff,Arkansas,37.6
5149,Yell,Arkansas,42.1
6001,Alameda,California,42.5
6003,Alpine,California,
6005,Amador,California,44.2
6007,Butte,California,41.3
6009,Calaveras,California,42.8
6011,Colusa,California,47.8
6013,Contra Costa,California,43.6
6015,Del Norte,California,38.6
6017,El Dorado,California,45.6
6019,Fresno,California,40.8
6021,Glenn,California,43.6
6023,Humboldt,California,38.9
6025,Imperial,California,44.0
6027,Inyo,California,43.7
6029,Kern,California,45.3
6031,Kings,California,42.2
6033,Lake,California,40.4
6035,Lassen,California,44.3
6037,Los Angeles,California,43.3
6039,Madera,California,41.7
6041,Marin,California,46.7
6043,Mariposa,California,45.1
6045,Mendocino,California,40.0
6047,Merced,California,42.0
6049,Modoc,California,46.7
6051,Mono,California,48.1
6053,Monterey,California,43.6
6055,Napa,California,47.3
6057,Nevada,California,44.2
6059,Orange,California,46.4
6061,Placer,California,45.4
6063,Plumas,California,44.0
