"countyfips","gps_workplaces"
1001,-0.07
1003,-0.0414
1005,-0.0386
1007,-0.0729
1009,-0.14
1011,NA
1013,-0.0186
1015,-0.114
1017,-0.164
1019,-0.0557
1021,-0.0786
1023,NA
1025,-0.174
1027,NA
1029,NA
1031,-0.13
1033,-0.126
1035,-0.18
1037,NA
1039,-0.0529
1041,NA
1043,-0.144
1045,-0.0386
1047,-0.0386
1049,-0.0771
1051,-0.149
1053,-0.0857
1055,-0.181
1057,NA
1059,-0.03
1061,-0.109
1063,-0.176
1065,NA
1067,-0.141
1069,-0.0243
1071,-0.0671
1073,-0.171
1075,NA
1077,-0.101
1079,-0.05
1081,-0.16
1083,-0.127
1085,-0.0729
1087,-0.217
1089,-0.201
1091,-0.183
1093,-0.0129
1095,-0.176
1097,-0.136
1099,-0.186
1101,-0.0957
1103,-0.141
1105,NA
1107,NA
1109,-0.09
1111,-0.181
1113,-0.191
1115,-0.163
1117,-0.174
1119,NA
1121,-0.121
1123,-0.136
1125,-0.146
1127,-0.124
1129,NA
1131,NA
1133,-0.119
2020,-0.246
2050,NA
2090,-0.0114
2110,-0.227
2122,-0.0871
2130,NA
2150,NA
2170,-0.166
2185,NA
2261,NA
4001,-0.181
4003,-0.129
4005,-0.0743
4007,-0.137
4009,-0.179
4011,NA
4012,-0.359
4013,-0.26
4015,-0.09
4017,-0.0286
4019,-0.197
4021,-0.243
4023,-0.17
4025,-0.19
4027,-0.279
5001,NA
5003,-0.114
5005,-0.0843
5007,-0.2
5009,-0.154
5011,NA
5015,0.0643
5017,NA
5019,-0.0271
5021,NA
5023,0.00143
5025,NA
5027,-0.24
5029,-0.16
5031,-0.0629
5033,-0.146
5035,-0.246
5037,NA
5041,NA
5043,NA
5045,-0.241
5047,-0.11
5049,NA
5051,-0.113
5053,NA
5055,0.0143
5057,-0.0471
5059,-0.0243
5061,NA
5063,-0.0643
5065,NA
5067,NA
5069,-0.13
5071,0.00571
5075,NA
5079,NA
5081,NA
5083,-0.0929
5085,-0.137
5087,NA
5089,NA
5091,-0.0786
5093,-0.187
5095,NA
5097,NA
5099,-0.133
5103,-0.317
5105,NA
5107,NA
5109,NA
5111,-0.0729
5113,-0.199
5115,-0.114
5117,NA
5119,-0.22
5121,-0.0971
5123,-0.0929
5125,-0.167
5127,NA
5129,NA
5131,-0.116
5133,-0.109
5135,-0.0229
5137,NA
5139,-0.126
5141,NA
5143,-0.149
5145,-0.123
5149,-0.243
6001,-0.337
6005,-0.206
6007,-0.117
6009,-0.2
6011,-0.11
6013,-0.293
6015,-0.131
6017,-0.279
6019,-0.203
6021,-0.239
6023,-0.169
6025,-0.189
6027,-0.194
6029,-0.187
6031,-0.199
6033,-0.0957
6035,-0.131
6037,-0.27
6039,-0.143
6041,-0.304
6043,-0.116
6045,-0.139
6047,-0.0643
6049,NA
6051,-0.286
6053,-0.223
6055,-0.194
6057,-0.109
6059,-0.246
6061,-0.2
6063,-0.126
6065,-0.219
6067,-0.276
6069,-0.204
6071,-0.23
6073,-0.287
6075,-0.424
6077,-0.133
6079,-0.254
6081,-0.36
6083,-0.24
6085,-0.343
6087,-0.287
6089,-0.171
6093,-0.0643
6095,-0.21
6097,-0.237
6099,-0.21
6101,-0.174
6103,-0.09
6105,NA
6107,-0.209
6109,-0.147
6111,-0.236
6113,-0.234
6115,-0.174
8001,-0.184
8003,-0.174
8005,-0.236
8007,-0.186
8013,-0.311
8014,-0.307
8015,-0.121
8019,NA
8021,NA
8029,-0.00143
8031,-0.291
8035,-0.317
8037,-0.324
8039,-0.233
8041,-0.157
8043,-0.101
8045,-0.166
8047,NA
8049,-0.249
8051,-0.207
8055,NA
8059,-0.293
8063,-0.247
8065,NA
8067,-0.21
8069,-0.217
8071,-0.0586
8073,NA
8075,-0.0486
8077,-0.0843
8081,-0.131
8083,0.134
8085,-0.186
8087,-0.126
8089,-0.173
8093,-0.216
8097,-0.331
8099,-0.0929
8101,-0.177
8105,NA
8107,-0.194
8109,NA
8113,NA
8117,-0.351
8119,-0.131
8123,-0.121
8125,NA
9001,-0.241
9003,-0.23
9005,-0.11
9007,-0.174
9009,-0.169
9011,-0.0471
9013,-0.107
9015,0.0129
10001,-0.161
10003,-0.253
10005,-0.0571
11001,-0.36
12001,-0.183
12003,-0.12
12005,-0.0586
12007,-0.236
12009,-0.193
12011,-0.244
12013,NA
12015,-0.2
12017,-0.0471
12019,-0.219
12021,-0.199
12023,-0.0329
12027,-0.173
12029,0.01
12031,-0.174
12033,-0.197
12035,-0.167
12037,-0.13
12039,-0.206
12041,-0.187
12043,-0.273
12045,-0.166
12047,-0.116
12049,-0.186
12051,-0.231
12053,-0.143
12055,-0.19
12057,-0.247
12059,-0.146
12061,-0.17
12063,-0.109
12065,NA
12067,NA
12069,-0.201
12071,-0.207
12073,-0.227
12075,-0.0871
12079,-0.143
12081,-0.177
12083,-0.11
12085,-0.294
12086,-0.211
12087,-0.256
12089,-0.14
12091,-0.121
12093,-0.237
12095,-0.279
12097,-0.199
12099,-0.221
12101,-0.129
12103,-0.203
12105,-0.156
12107,-0.00143
12109,-0.169
12111,-0.164
12113,-0.0957
12115,-0.213
12117,-0.259
12119,-0.186
12121,-0.186
12123,-0.164
12125,NA
12127,-0.183
12129,-0.116
12131,-0.1
12133,0.0343
13001,0.0329
13003,NA
13005,NA
13009,-0.0929
13011,0.00286
13013,-0.0657
13015,-0.0657
13017,-0.206
13019,-0.0971
13021,-0.139
13023,NA
13025,-0.191
13027,-0.0471
13029,-0.137
13031,-0.04
13033,-0.297
13035,-0.187
13039,-0.107
13043,NA
13045,-0.163
13047,-0.261
13049,NA
13051,-0.21
13053,NA
13055,-0.00429
13057,-0.283
13059,-0.0843
13063,-0.213
13065,NA
13067,-0.317
13069,-0.233
13071,-0.107
13073,-0.169
13075,-0.111
13077,-0.136
13079,NA
13081,-0.0786
13083,-0.0614
13085,-0.13
13087,-0.103
13089,-0.277
13091,-0.101
13093,-0.166
13095,-0.134
13097,-0.19
13099,NA
13103,-0.0829
13105,-0.153
13107,-0.12
13109,NA
13111,-0.111
13113,-0.179
13115,-0.197
13117,-0.293
13119,-0.211
13121,-0.327
13123,-0.151
13127,-0.167
13129,-0.177
13131,-0.231
13133,-0.137
13135,-0.196
13137,-0.146
13139,-0.0314
13141,NA
13143,-0.0614
13145,-0.0871
13147,-0.0286
13149,NA
13151,-0.206
13153,-0.2
13155,NA
13157,-0.0886
13159,NA
13161,-0.00143
13163,-0.19
13165,NA
13167,NA
13169,-0.233
13171,-0.0629
13173,NA
13175,-0.124
13177,-0.0971
13179,-0.0914
13181,NA
13183,-0.0829
13185,-0.196
13187,-0.124
13189,-0.157
13191,NA
13193,NA
13195,-0.09
13197,NA
13199,-0.18
13201,NA
13205,-0.164
13207,-0.103
13209,NA
13211,-0.203
13213,-0.156
13215,-0.18
13217,-0.137
13219,-0.11
13221,NA
13223,-0.224
13225,-0.154
13227,-0.0143
13229,-0.119
13231,-0.03
13233,-0.226
13235,NA
13237,-0.154
13241,-0.113
13243,NA
13245,-0.157
13247,-0.203
13251,NA
13253,NA
13255,-0.131
13257,-0.216
13261,-0.166
13263,NA
13267,-0.0571
13269,NA
13271,NA
13273,NA
13275,-0.191
13277,-0.0714
13279,-0.144
13281,NA
13283,NA
13285,-0.0229
13287,NA
13289,NA
13291,0.04
13293,-0.171
13295,-0.129
13297,-0.256
13299,-0.251
13301,NA
13303,-0.1
13305,-0.1
13311,-0.00714
13313,-0.103
13315,NA
13317,NA
13319,NA
13321,-0.0757
15001,-0.259
15003,-0.271
15007,-0.293
15009,-0.134
16001,-0.223
16005,-0.0843
16009,NA
16011,-0.171
16013,-0.241
16015,NA
16017,-0.05
16019,-0.0629
16021,NA
16027,-0.109
16029,NA
16031,-0.106
16035,NA
16039,-0.107
16041,NA
16043,NA
16045,-0.196
16047,-0.0414
16049,NA
16051,-0.169
16053,-0.08
16055,-0.273
16057,-0.263
16059,NA
16063,NA
16065,-0.181
16067,-0.0686
16069,-0.147
16073,NA
16075,-0.127
16077,NA
16079,NA
16081,NA
16083,-0.109
16085,NA
16087,NA
17001,-0.0857
17003,NA
17005,-0.107
17007,-0.121
17011,-0.146
17015,NA
17017,NA
17019,-0.184
17021,-0.0943
17023,-0.0857
17025,NA
17027,-0.0757
17029,-0.121
17031,-0.253
17033,-0.00429
17035,-0.117
17037,-0.196
17039,NA
17041,0.0329
17043,-0.194
17045,-0.247
17047,NA
17049,-0.147
17051,-0.0357
17053,NA
17055,-0.143
17057,-0.187
17061,NA
17063,-0.203
17065,NA
17067,-0.109
17071,NA
17073,-0.0543
17075,-0.197
17077,-0.181
17079,NA
17081,-0.266
17083,-0.101
17085,-0.147
17087,NA
17089,-0.183
17091,-0.157
17093,-0.259
17095,-0.174
17097,-0.203
17099,-0.02
17101,NA
17103,-0.0614
17105,-0.101
17107,-0.139
17109,-0.11
17111,-0.116
17113,-0.179
17115,-0.197
17117,-0.121
17119,-0.134
17121,-0.154
17123,NA
17125,NA
17127,-0.18
17129,NA
17131,NA
17133,-0.213
17135,0.0186
17137,-0.149
17139,NA
17141,-0.0957
17143,-0.206
17145,-0.147
17147,NA
17149,NA
17153,NA
17157,0.0214
17159,-0.121
17161,-0.0871
17163,-0.12
17165,-0.167
17167,-0.289
17169,NA
17173,-0.0314
17175,NA
17177,-0.161
17179,-0.25
17181,-0.187
17183,-0.126
17185,NA
17187,-0.13
17189,NA
17191,-0.316
17193,NA
17195,-0.101
17197,-0.214
17199,-0.216
17201,-0.137
17203,-0.246
18001,-0.144
18003,-0.149
18005,-0.227
18007,NA
18009,NA
18011,-0.187
18013,-0.0843
18015,-0.0686
18017,-0.171
18019,-0.127
18021,-0.124
18023,-0.0486
18025,NA
