"countyfips","vaccine_rate","fullvaccine_rate"
1001,43.2,34.2
1003,54.5,42.9
1005,46.7,35.8
1007,37.3,29.8
1009,32.8,26.5
1011,53.4,43.4
1013,43.9,33.9
1015,48.9,39.7
1017,32.5,26.9
1019,33.3,27.4
1021,37.9,30.2
1023,70.6,55.8
1025,56.1,44.6
1027,45.7,36.3
1029,32.9,26.7
1031,40.7,33.2
1033,50.4,42.1
1035,48.8,36.1
1037,42.2,35.1
1039,41.3,33.1
1041,36.8,29.5
1043,40.2,33.8
1045,53,45
1047,49.7,36.3
1049,35.7,28.2
1051,47.2,37.2
1053,40.7,30.9
1055,43.5,35.2
1057,35.4,29.9
1059,46.9,37.9
1061,40.2,33
1063,55.7,41.4
1065,62.8,52.8
1067,47.7,38.5
1069,44.4,36.8
1071,50.9,41.3
1073,61.3,49.3
1075,43.9,37.7
1077,50.3,40.3
1079,48.6,40.8
1081,39.4,33.8
1083,36.6,31.7
1085,54.7,41.1
1087,51,40.2
1089,62.1,52
1091,59.5,47.3
1093,37.7,31.5
1095,47.6,38.7
1097,50.9,41.8
1099,48.5,37.5
1101,56,44
1103,44.6,37.4
1105,50.8,41.9
1107,51.7,41.6
1109,43.5,35.4
1111,35.4,28.6
1113,41.8,32.4
1115,41.3,33.8
1117,38.7,31
1119,56.8,42.5
1121,39.1,31.7
1123,40.6,33.9
1125,45.2,37.7
1127,49.9,40.8
1129,49.6,40.8
1131,58.5,45.2
1133,23.6,19.1
2013,74.3,68.3
2016,65.6,54.9
2020,62.2,54.4
2050,61.4,56.3
2068,52.4,45.7
2070,47.6,42.5
2090,53.7,46.4
2100,65.8,62.7
2110,70.8,64.8
2122,44.9,40.5
2130,61.3,56.8
2150,61.4,55.9
2158,61.4,57
2170,36.4,31.8
2180,63.4,60.6
2185,36.1,32.6
2188,53.6,49.7
2195,70,65.8
2198,53.4,47.8
2220,71,68.2
2230,70,66.3
2240,31.5,27
2261,55.8,51.1
2275,53.6,52
2290,65.6,60.5
4001,82.1,71.2
4003,61,53.1
4005,76.4,67.1
4007,59.2,51
4009,60.7,53
4011,42.9,36.6
4012,48.2,40.7
4013,56.1,48.4
4015,43.1,35.5
4017,70.4,60.6
4019,66.1,58
4021,51.3,44.7
4023,98.3,89.1
4025,49.2,39.7
4027,65.3,56.7
5001,57,49.1
5003,50.4,43.6
5005,48.2,42
5007,52.4,44.3
5009,38.4,32.3
5011,58,49.9
5013,36,31.6
5015,46.2,38.5
5017,56.5,48.1
5019,49.9,43.4
5021,45.6,40.3
5023,44.9,39.1
5025,53.6,46.1
5027,48.9,40.8
5029,53.5,47.5
5031,45.4,37.5
5033,46.2,39.7
5035,44.3,36.4
5037,52.4,44.7
5039,57.1,50.2
5041,61.2,50.8
5043,49.1,42.1
5045,48.6,42.6
5047,48.7,43.1
5049,32.6,28.2
5051,47.1,39.5
5053,46.5,39.9
5055,43.5,37.5
5057,36.3,28.5
5059,43.3,37.9
5061,53.5,45.8
5063,40.6,34.8
5065,38.3,32.9
5067,39,33.2
5069,46.5,35.7
5071,50.2,42.1
5073,39.7,34.1
5075,47.4,39.2
5077,35.1,28.7
5079,36,30.5
5081,31.4,26.4
5083,46.9,40.7
5085,48.1,41.7
5087,44,37.3
5089,37.1,31.1
5091,16.2,12.5
5093,41,34.5
5095,58.7,47.9
5097,37.7,32.7
5099,45.6,34.6
5101,35.5,29
5103,54.1,47.1
5105,52.8,46.3
5107,50.1,42.5
5109,45.7,36.9
5111,46.3,37.8
5113,37.1,30
5115,49.7,43.5
5117,45.8,37.4
5119,57.4,49.5
5121,42.2,34.3
5123,50.2,42.9
5125,49.5,42.9
5127,48.6,40.3
5129,40.1,34.8
5131,50,42.3
5133,43.4,37.2
5135,40.6,33.9
5137,37.3,32.7
5139,51.7,41
5141,42.6,38.1
5143,55.5,46.5
5145,45.9,39.4
