"id","year","educ","agekdbrn","racehisp"
1,2008,12,20,"Hispanic"
2,2008,20,33,"Other"
3,2008,13,22,"Black"
4,2008,10,26,"Black"
5,2008,12,32,"Black"
6,2008,16,25,"Black"
8,2008,12,21,"Black"
9,2008,14,27,"Black"
10,2008,9,17,"Black"
11,2008,17,31,"Black"
13,2008,18,44,"White"
14,2008,16,22,"Black"
16,2008,18,27,"Other"
18,2008,13,20,"White"
20,2008,14,30,"Other"
21,2008,12,21,"White"
22,2008,12,20,"White"
23,2008,12,20,"White"
24,2008,13,23,"White"
25,2008,13,22,"White"
26,2008,12,35,"White"
27,2008,14,25,"Black"
29,2008,14,23,"Black"
32,2008,12,25,"Hispanic"
33,2008,10,25,"Hispanic"
34,2008,12,19,"Hispanic"
37,2008,16,21,"Other"
38,2008,14,28,"White"
39,2008,16,32,"White"
41,2008,14,24,"Other"
42,2008,10,17,"White"
43,2008,13,15,"Hispanic"
45,2008,15,18,"Black"
46,2008,18,31,"Other"
48,2008,16,29,"White"
49,2008,14,29,"White"
50,2008,18,29,"White"
51,2008,16,29,"White"
52,2008,14,29,"White"
53,2008,16,27,"White"
55,2008,16,31,"White"
57,2008,16,22,"Black"
59,2008,16,25,"Black"
61,2008,20,42,"White"
62,2008,20,35,"White"
64,2008,9,16,"Hispanic"
65,2008,19,22,"White"
68,2008,12,23,"White"
69,2008,16,32,"White"
70,2008,18,31,"White"
71,2008,12,25,"White"
72,2008,12,32,"White"
73,2008,16,23,"White"
74,2008,12,21,"White"
75,2008,12,24,"White"
76,2008,12,20,"White"
78,2008,12,17,"White"
79,2008,14,23,"White"
81,2008,19,38,"White"
85,2008,11,30,"Hispanic"
86,2008,14,22,"White"
87,2008,15,24,"White"
89,2008,12,25,"White"
90,2008,16,28,"White"
92,2008,12,29,"White"
93,2008,13,30,"White"
94,2008,15,40,"White"
96,2008,20,16,"White"
97,2008,18,35,"White"
98,2008,8,20,"Hispanic"
99,2008,12,33,"White"
100,2008,15,20,"White"
101,2008,12,21,"White"
103,2008,19,30,"White"
104,2008,11,16,"White"
105,2008,12,23,"White"
106,2008,10,22,"White"
108,2008,18,15,"White"
109,2008,12,20,"Hispanic"
110,2008,12,22,"White"
112,2008,18,29,"White"
113,2008,16,29,"White"
114,2008,17,25,"White"
115,2008,13,23,"White"
116,2008,16,30,"White"
118,2008,13,21,"White"
119,2008,18,23,"White"
120,2008,20,30,"White"
125,2008,12,25,"Hispanic"
126,2008,11,17,"Hispanic"
129,2008,12,25,"Hispanic"
131,2008,16,28,"Other"
132,2008,12,32,"White"
133,2008,12,34,"White"
134,2008,18,27,"White"
136,2008,18,24,"White"
137,2008,14,27,"White"
139,2008,16,30,"White"
140,2008,11,14,"Hispanic"
143,2008,12,21,"White"
144,2008,14,34,"Hispanic"
145,2008,13,26,"White"
147,2008,14,31,"White"
148,2008,12,17,"White"
149,2008,9,25,"Hispanic"
150,2008,13,20,"Hispanic"
151,2008,12,18,"Hispanic"
152,2008,13,24,"Hispanic"
155,2008,11,22,"Black"
156,2008,12,36,"Hispanic"
161,2008,9,29,"Hispanic"
164,2008,14,28,"Hispanic"
165,2008,14,27,"Black"
168,2008,15,26,"Hispanic"
169,2008,12,25,"Hispanic"
170,2008,9,22,"White"
172,2008,14,18,"Black"
179,2008,13,25,"Hispanic"
180,2008,14,22,"White"
181,2008,13,23,"White"
182,2008,13,18,"White"
183,2008,13,23,"Hispanic"
190,2008,15,28,"Hispanic"
191,2008,16,25,"Other"
192,2008,16,27,"White"
195,2008,13,20,"Black"
196,2008,16,34,"Black"
198,2008,12,23,"Black"
199,2008,11,18,"Black"
200,2008,12,20,"Black"
201,2008,11,18,"Black"
202,2008,12,26,"Hispanic"
203,2008,9,17,"Hispanic"
205,2008,9,35,"Hispanic"
208,2008,9,21,"Hispanic"
209,2008,12,18,"Black"
210,2008,11,20,"Black"
213,2008,17,28,"White"
214,2008,19,26,"White"
216,2008,14,42,"White"
217,2008,12,30,"White"
218,2008,16,20,"White"
219,2008,16,21,"Black"
220,2008,12,28,"White"
222,2008,19,26,"White"
224,2008,12,22,"White"
225,2008,11,20,"Black"
228,2008,16,24,"White"
229,2008,12,24,"White"
230,2008,14,29,"Other"
231,2008,15,31,"White"
232,2008,14,26,"White"
234,2008,14,21,"Black"
235,2008,12,26,"White"
236,2008,12,22,"Hispanic"
237,2008,12,28,"Black"
238,2008,8,21,"Black"
239,2008,12,19,"Black"
241,2008,16,24,"White"
244,2008,15,22,"White"
245,2008,12,32,"White"
246,2008,10,18,"White"
248,2008,12,27,"White"
249,2008,13,21,"White"
250,2008,13,20,"Black"
251,2008,12,30,"White"
253,2008,16,34,"Other"
254,2008,13,18,"Hispanic"
255,2008,16,33,"Other"
256,2008,12,25,"White"
257,2008,13,27,"Other"
258,2008,16,28,"White"
261,2008,13,26,"Other"
262,2008,12,26,"White"
265,2008,10,15,"White"
266,2008,14,30,"White"
268,2008,18,31,"White"
269,2008,18,24,"White"
270,2008,17,28,"Other"
272,2008,16,26,"White"
273,2008,11,18,"Hispanic"
275,2008,13,17,"Hispanic"
276,2008,15,27,"Other"
277,2008,12,20,"White"
278,2008,14,33,"White"
280,2008,14,35,"Hispanic"
281,2008,16,30,"Other"
283,2008,20,45,"White"
287,2008,9,17,"Hispanic"
288,2008,14,35,"Other"
290,2008,14,29,"White"
294,2008,14,25,"Hispanic"
295,2008,14,27,"White"
296,2008,14,38,"White"
297,2008,8,17,"White"
298,2008,14,30,"White"
299,2008,14,19,"White"
303,2008,14,21,"Black"
304,2008,11,16,"Black"
305,2008,14,29,"Black"
306,2008,14,28,"Black"
308,2008,14,21,"Black"
