year,id,childs,parsol,kidssol,ideal_childs
2014,3,1,,,2
2014,4,2,Much better,About the same,3
2012,6,2,,,2
2014,6,1,,,2
2012,12,3,Much better,Much better,2
2010,13,2,,,2
2010,14,3,,,3
2014,14,2,,,2
2010,15,1,About the same,Somewhat better,2
2014,16,3,About the same,Much worse,3
2012,17,3,Much better,Much better,2
2012,18,5,Somewhat better,About the same,2
2014,19,2,Much better,About the same,2
2010,20,0,Somewhat worse,Much worse,3
2010,22,5,,,3
2014,22,3,About the same,About the same,2
2012,23,2,Somewhat worse,About the same,2
2012,24,2,Much better,Much worse,2
2010,25,2,Somewhat better,Much better,3
2014,27,2,,,2
2010,30,0,Somewhat worse,,3
2014,33,0,,,2
2010,35,2,,,2
2012,35,0,Somewhat better,,2
2010,38,2,,,2
2012,38,0,Somewhat better,Somewhat worse,3
2012,43,0,About the same,,2
2014,43,0,,,0
2010,49,0,Much better,,2
2010,50,2,Somewhat better,Much better,2
2014,51,3,About the same,About the same,2
2012,52,2,Much better,Somewhat better,3
2012,53,2,,,0
2010,53,2,Much better,Somewhat better,2
2014,55,1,,,2
2012,56,3,,,3
2014,59,0,Somewhat better,,2
2010,62,2,Somewhat better,Much better,2
2010,67,1,About the same,Somewhat better,3
2014,68,3,Much better,Somewhat better,3
2012,68,1,,,3
2010,69,2,Somewhat worse,Somewhat better,2
2012,69,0,Somewhat worse,,2
2010,70,2,Much better,Much better,3
2014,71,2,Somewhat better,About the same,2
2014,73,2,About the same,Somewhat better,2
2012,74,2,,,3
2012,75,2,Somewhat better,About the same,2
2010,75,0,Somewhat worse,Much worse,2
2010,76,3,,,2
2010,77,4,,,4
2012,78,3,Somewhat better,Much better,2
2010,78,3,,,2
2010,79,3,About the same,Somewhat worse,3
2010,81,0,,,2
2014,81,3,Much better,Much better,2
2012,81,0,Somewhat worse,Somewhat worse,2
2012,83,2,,,2
2014,84,0,,,5
2012,91,3,,,2
2014,91,1,Somewhat better,,3
2010,92,1,,,2
2012,94,2,,,1
2014,95,3,Somewhat worse,Much worse,3
2012,95,3,Somewhat better,About the same,2
2010,95,3,,,4
2010,98,3,,,3
2012,99,0,,,2
2012,101,2,Somewhat better,Much better,2
2010,104,0,,,3
2014,105,0,,,2
2010,105,0,Much better,,2
2014,106,1,About the same,Somewhat worse,2
2012,109,2,About the same,Somewhat better,2
2010,109,2,,,3
