"","X","id","childs","age","agekdbrn","educ","class","memnum","racehisp","geography","religion","place","female","degree","agekdbrn_30plus"
"1",1,1,1,52,34,9,"Working class",1,"Other","Big city","Catholic","Northeast","Yes","Less Than HS",1
"2",2,2,3,59,NA,12,"Working class",1,"Black","Big city","Catholic","Northeast","No","HS Diploma",NA
"3",3,2,3,43,35,14,"Upper class",0,"Hispanic","Big city","Catholic","Northeast","Yes","Some College",1
"4",4,3,4,52,23,14,"Middle class",2,"Black","Big city","Protestant","Northeast","No","Some College",0
"5",5,5,0,21,NA,13,"Lower class",3,"Black","Big city","Protestant","Northeast","Yes","Some College",NA
"6",6,5,0,34,NA,17,"Working class",4,"Hispanic","Big city","Catholic","Northeast","Yes","Grad/Prof Degree",NA
"7",7,8,0,22,NA,14,"Working class",0,"Other","Big city","Eastern","Northeast","No","Some College",NA
"8",8,10,0,26,NA,14,"Working class",0,"Black","Big city","Protestant","Northeast","No","Some College",NA
"9",9,11,7,74,19,12,"Lower class",1,"Black","Big city","Protestant","Northeast","No","HS Diploma",0
"10",10,12,3,58,21,12,"Working class",2,"Black","Big city","None","Northeast","Yes","HS Diploma",0
"11",11,13,1,32,28,10,"Working class",2,"Black","Big city","Catholic","Northeast","No","Less Than HS",0
"12",12,16,2,48,25,11,"Middle class",0,"Black","Big city","Protestant","Northeast","No","Less Than HS",0
"13",13,17,2,52,NA,18,"Upper class",3,"White","Big city","Jewish","Northeast","Yes","Grad/Prof Degree",NA
"14",14,20,2,29,25,11,"Working class",2,"Other","Big city","None","Northeast","No","Less Than HS",0
"15",15,22,2,67,21,14,"Middle class",4,"White","Big city","Catholic","Northeast","Yes","Some College",0
"16",16,23,2,57,31,12,"Lower class",0,"White","Big city","Eastern","Northeast","No","HS Diploma",1
"17",17,24,0,65,NA,16,"Upper class",0,"White","Big city","Protestant","Northeast","No","College Degree",NA
"18",18,25,0,53,NA,16,"Middle class",0,"White","Big city","Catholic","Northeast","No","College Degree",NA
"19",19,26,1,55,37,16,"Working class",0,"Other","Big city","Protestant","Northeast","Yes","College Degree",1
"20",20,27,2,35,26,13,"Working class",0,"White","Big city","Jewish","Northeast","Yes","Some College",0
"21",21,30,0,73,NA,16,"Middle class",1,"White","Big city","Jewish","Northeast","No","College Degree",NA
"22",22,32,1,68,50,12,"Middle class",0,"Black","Big city","Catholic","Northeast","No","HS Diploma",1
"23",23,34,1,55,NA,16,"Middle class",1,"Black","Big city","Catholic","Northeast","Yes","College Degree",NA
"24",24,35,2,47,32,17,"Upper class",8,"White","Big city",NA,"Northeast","Yes","Grad/Prof Degree",1
"25",25,36,1,58,32,16,"Middle class",1,"White","Big city","Jewish","Northeast","Yes","College Degree",1
"26",26,38,0,29,NA,19,"Middle class",2,"White","Big city","Jewish","Northeast","No","Grad/Prof Degree",NA
"27",27,39,1,82,NA,19,"Upper class",8,"White","Big city","None","Northeast","Yes","Grad/Prof Degree",NA
"28",28,40,0,34,NA,18,"Middle class",3,"White","Big city","Protestant","Northeast","No","Grad/Prof Degree",NA
"29",29,46,3,55,31,16,"Middle class",0,"Other","Big city","Other","Northeast","No","College Degree",1
"30",30,48,0,33,NA,18,"Working class",0,"White","Big city","None","Northeast","No","Grad/Prof Degree",NA
"31",31,49,0,26,NA,13,"Working class",2,"White","Big city","None","Northeast","Yes","Some College",NA
"32",32,52,0,30,NA,17,"Middle class",5,"Other","Big city","None","Northeast","No","Grad/Prof Degree",NA
"33",33,52,0,31,NA,15,"Working class",2,"Black","Big city","Protestant","Northeast","No","Some College",NA
"34",34,53,0,37,NA,12,"Middle class",0,"Hispanic","Big city","Catholic","Northeast","Yes","HS Diploma",NA
"35",35,54,2,49,37,12,"Middle class",0,"White","Smaller city","Catholic","Northeast","No","HS Diploma",1
"36",36,55,0,23,NA,12,"Working class",7,"White","Smaller city","Catholic","Northeast","No","HS Diploma",NA
"37",37,57,0,47,NA,16,"Middle class",1,"White","Smaller city","None","Northeast","No","College Degree",NA
"38",38,59,3,33,NA,19,"Middle class",3,"White","Big city","Protestant","Northeast","Yes","Grad/Prof Degree",NA
"39",39,59,2,55,27,16,"Middle class",2,"White","Smaller city","None","Northeast","Yes","College Degree",0
"40",40,60,2,74,36,16,"Middle class",1,"White","Smaller city","Jewish","Northeast","No","College Degree",1
"41",41,61,2,49,30,16,"Upper class",2,"White","Smaller city","Protestant","Northeast","No","College Degree",1
"42",42,62,3,40,31,16,"Middle class",4,"White","Smaller city","Catholic","Northeast","No","College Degree",1
"43",43,63,3,40,35,20,"Middle class",3,"Other","Smaller city","Eastern","Northeast","Yes","Grad/Prof Degree",1
"44",44,65,0,22,NA,15,"Middle class",1,"Black","Big city","Catholic","Northeast","No","Some College",NA
"45",45,65,2,55,31,20,"Upper class",2,"Other","Suburb","Eastern","Northeast","No","Grad/Prof Degree",1
"46",46,66,3,48,30,18,"Upper class",4,"White","Suburb","Jewish","Northeast","Yes","Grad/Prof Degree",1
"47",47,69,0,23,NA,16,"Middle class",3,"Black","Big city","Catholic","Northeast","Yes","College Degree",NA
"48",48,69,2,57,30,18,"Upper class",0,"White","Suburb","None","Northeast","Yes","Grad/Prof Degree",1
"49",49,70,0,59,NA,18,"Working class",3,"White","Suburb","Protestant","Northeast","Yes","Grad/Prof Degree",NA
"50",50,71,0,38,NA,16,"Middle class",1,"Black","Suburb","Catholic","Northeast","Yes","College Degree",NA
"51",51,72,1,33,24,17,"Working class",1,"Black","Suburb","Protestant","Northeast","Yes","Grad/Prof Degree",0
"52",52,74,5,45,24,15,"Middle class",4,"Black","Suburb","Protestant","Northeast","Yes","Some College",0
"53",53,75,5,46,NA,12,"Working class",2,"Black","Big city","Other","Northeast","Yes","HS Diploma",NA
"54",54,75,1,41,27,16,"Working class",0,"Black","Suburb","Protestant","Northeast","Yes","College Degree",0
"55",55,76,4,36,NA,12,"Middle class",0,"Black","Big city","Protestant","Northeast","Yes","HS Diploma",NA
"56",56,79,2,57,38,10,"Working class",0,"Hispanic","Suburb","Catholic","Northeast","Yes","Less Than HS",1
"57",57,80,0,66,NA,18,"Middle class",1,"White","Suburb","Catholic","Northeast","Yes","Grad/Prof Degree",NA
"58",58,83,1,30,28,17,"Middle class",2,"Hispanic","Suburb","Catholic","Northeast","Yes","Grad/Prof Degree",0
"59",59,84,0,24,NA,16,"Working class",3,"White","Suburb","Protestant","Northeast","No","College Degree",NA
"60",60,84,2,48,27,16,"Middle class",6,"White","Suburb","Catholic","Northeast","No","College Degree",0
"61",61,85,2,34,NA,16,"Middle class",5,"White","Suburb","Catholic","Northeast","No","College Degree",NA
"62",62,87,0,32,NA,16,"Middle class",0,"Other","Suburb","None","Northeast","No","College Degree",NA
"63",63,89,1,33,32,15,"Middle class",5,"Other","Suburb","Eastern","Northeast","No","Some College",1
"64",64,90,2,69,25,12,"Middle class",4,"White","Suburb","Protestant","Northeast","Yes","HS Diploma",0
"65",65,92,1,31,30,15,"Middle class",0,"Other","Suburb","Eastern","Northeast","No","Some College",1
"66",66,93,0,21,NA,14,"Middle class",1,"White","Suburb","Protestant","Northeast","No","Some College",NA
"67",67,93,1,31,30,14,"Middle class",0,"Other","Suburb","Eastern","Northeast","No","Some College",1
"68",68,94,2,45,33,13,"Middle class",0,"White","Suburb","Catholic","Northeast","Yes","Some College",1
"69",69,95,3,79,22,12,"Working class",1,"White","Suburb","Catholic","Northeast","Yes","HS Diploma",0
"70",70,95,2,63,NA,20,"Upper class",7,"White","Suburb","Jewish","Northeast","Yes","Grad/Prof Degree",NA
"71",71,97,4,60,NA,12,"Middle class",1,"White","Suburb","Other","Northeast","Yes","HS Diploma",NA
"72",72,99,4,63,22,12,"Working class",2,"White","Suburb","Protestant","Northeast","No","HS Diploma",0
"73",73,100,2,57,NA,12,"Working class",3,"Black","Smaller city","Protestant","Northeast","Yes","HS Diploma",NA
"74",74,103,2,37,30,16,"Working class",1,"White","Suburb","Catholic","Northeast","Yes","College Degree",1
"75",75,105,4,33,19,14,"Working class",2,"Other","Suburb","Eastern","Northeast","Yes","Some College",0
"76",76,106,1,50,31,17,"Middle class",3,"White","Suburb","Catholic","Northeast","Yes","Grad/Prof Degree",1
"77",77,108,6,59,NA,12,"Working class",0,"Black","Smaller city","Protestant","Northeast","Yes","HS Diploma",NA
"78",78,110,2,57,18,15,"Working class",1,"Hispanic","Suburb","Catholic","Northeast","Yes","Some College",0
"79",79,112,1,60,40,9,"Working class",3,"White","Suburb","Catholic","Northeast","No","Less Than HS",1
"80",80,113,2,74,20,14,"Middle class",0,"White","Suburb","Catholic","Northeast","Yes","Some College",0
"81",81,116,0,34,NA,18,"Middle class",3,"White","Suburb","Catholic","Northeast","Yes","Grad/Prof Degree",NA
"82",82,117,2,60,27,20,"Middle class",1,"White","Suburb","Catholic","Northeast","No","Grad/Prof Degree",0
"83",83,120,0,35,NA,16,"Working class",0,"White","Suburb","None","Northeast","No","College Degree",NA
"84",84,122,1,35,33,20,"Upper class",0,"White","Suburb","Catholic","Northeast","No","Grad/Prof Degree",1
"85",85,125,1,47,31,12,"Middle class",3,"White","Suburb","Catholic","Northeast","Yes","HS Diploma",1
"86",86,129,3,62,25,12,"Middle class",4,"White","Suburb","Catholic","Northeast","No","HS Diploma",0
"87",87,130,3,40,NA,13,"Working class",2,"Black","Smaller city","Protestant","Northeast","Yes","Some College",NA
"88",88,130,1,61,28,15,"Middle class",0,"White","Suburb","Catholic","Northeast","No","Some College",0
"89",89,131,1,56,22,6,"Working class",1,"White","Suburb","Other","Northeast","Yes","Less Than HS",0
