country,hdi_rank_2019,hdi_cat_2019,hdi_2019,maternal_mortality_ratio_2017,adolescent_birth_rate_2015_2020,female_parliament_2019,seconday_educ_female_2015_2019,secondary_educ_male_2015_2019,labour_force_participation_female_2019,labour_force_participation_male_2019,life_expectancy_2019,schooling_expectancy_2019,schooling_mean_2019,gross_national_income_2019
Norway,1,very_high,0.957,2,5.1,40.8,95.4,94.9,60.4,67.2,82.4,18.1,12.9,66494
Ireland,2,very_high,0.955,5,7.5,24.3,81.9,79.9,56,68.4,82.3,18.7,12.7,68371
Switzerland,2,very_high,0.955,5,2.8,38.6,95.6,96.8,62.9,73.8,83.8,16.3,13.4,69394
"Hong Kong, China (SAR)",4,very_high,0.949,NA,2.7,NA,77.1,82.9,54,67.5,84.9,16.9,12.3,62985
Iceland,4,very_high,0.949,4,6.3,38.1,100,100,70.8,79.2,83,19.1,12.8,54682
Germany,6,very_high,0.947,7,8.1,31.6,95.9,96.3,55.3,66.6,81.3,17,14.2,55314
Sweden,7,very_high,0.945,4,5.1,47.3,89.3,89.5,61.4,67.8,82.8,19.5,12.5,54508
Australia,8,very_high,0.944,6,11.7,36.6,91,90.9,60.3,70.9,83.4,22,12.7,48085
Netherlands,8,very_high,0.944,5,3.8,33.8,87.6,90.3,58.3,69.1,82.3,18.5,12.4,57707
Denmark,10,very_high,0.94,4,4.1,39.1,91.2,90.9,58.2,66.3,80.9,18.9,12.6,58662
Finland,11,very_high,0.938,3,5.8,47,100,100,55.5,62.8,81.9,19.4,12.8,48511
Singapore,11,very_high,0.938,8,3.5,23,78.1,85.1,62,78.3,83.6,16.4,11.6,88155
United Kingdom,13,very_high,0.932,7,13.4,28.9,78,79.3,57.6,68.1,81.3,17.5,13.2,46071
Belgium,14,very_high,0.931,5,4.7,43.3,84.7,88.4,48.6,58.7,81.6,19.8,12.1,52085
New Zealand,14,very_high,0.931,9,19.3,40.8,97.4,96.9,64.8,75.3,82.3,18.8,12.8,40799
Canada,16,very_high,0.929,10,8.4,33.2,100,100,60.8,69.4,82.4,16.2,13.4,48527
United States,17,very_high,0.926,19,19.9,23.7,96.1,96,56.1,68.2,78.9,16.3,13.4,63826
Austria,18,very_high,0.922,5,7.3,38.5,100,99.8,55.1,66.6,81.5,16.1,12.5,56197
Israel,19,very_high,0.919,3,9.6,23.3,87.9,90.7,59.7,68.5,83,16.2,13,40187
Japan,19,very_high,0.919,5,3.8,14.5,95.3,92.3,52.7,71.3,84.6,15.2,12.9,42932
Liechtenstein,19,very_high,0.919,NA,NA,12,NA,NA,NA,NA,80.7,14.9,12.5,131032
Slovenia,22,very_high,0.917,7,3.8,22.3,97.2,98.3,53.4,63.4,81.3,17.6,12.7,38080
Korea (Republic of),23,very_high,0.916,11,1.4,16.7,80.4,95.5,52.9,73.1,83,16.5,12.2,43044
Luxembourg,23,very_high,0.916,5,4.7,25,100,100,54.9,63.7,82.3,14.3,12.3,72712
Spain,25,very_high,0.904,4,7.7,41.9,75.4,80.2,51.9,63.4,83.6,17.6,10.3,40975
France,26,very_high,0.901,8,4.7,36.9,81.7,86.8,50.8,59.9,82.7,15.6,11.5,47173
Czechia,27,very_high,0.9,3,12,20.6,100,99.9,52.9,68.5,79.4,16.8,12.7,38109
Malta,28,very_high,0.895,6,12.9,14.9,78.7,85.6,46,67.1,82.5,16.1,11.3,39555
Estonia,29,very_high,0.892,9,7.7,29.7,100,100,57.1,71,78.8,16,13.1,36019
Italy,29,very_high,0.892,2,5.2,35.3,75.9,83.4,40.8,59,83.5,16.1,10.4,42776
United Arab Emirates,31,very_high,0.89,3,6.5,50,76,81,52.4,93.4,78,14.3,12.1,67462
Greece,32,very_high,0.888,3,7.2,20.7,62,73.2,44.2,59.8,82.2,17.9,10.6,30155
Cyprus,33,very_high,0.887,6,4.6,17.9,79.9,83.8,57.8,68.3,81,15.2,12.2,38207
Lithuania,34,very_high,0.882,8,10.9,21.3,94.3,97.4,56.5,67.7,75.9,16.6,13.1,35799
Poland,35,very_high,0.88,2,10.5,27.9,83.1,88.5,48.6,65.5,78.7,16.3,12.5,31623
Andorra,36,very_high,0.868,NA,NA,46.4,71.5,73.3,NA,NA,81.9,13.3,10.5,56000
Latvia,37,very_high,0.866,19,16.2,30,100,100,55.7,68.4,75.3,16.2,13,30282
Portugal,38,very_high,0.864,8,8.4,38.7,53.9,54.8,54.2,64.1,82.1,16.5,9.3,33967
Slovakia,39,very_high,0.86,5,25.7,20,99.2,100,52.2,67.4,77.5,14.5,12.7,32113
Hungary,40,very_high,0.854,12,24,12.6,96.4,98.4,48.5,65.5,76.9,15.2,12,31329
Saudi Arabia,40,very_high,0.854,17,7.3,19.9,64.8,72.4,22.1,78.4,75.1,16.1,10.2,47495
Bahrain,42,very_high,0.852,14,13.4,18.8,68.1,74.3,45,87.2,77.3,16.3,9.5,42522
Chile,43,very_high,0.851,13,41.1,22.7,77.8,81.1,51.8,74,80.2,16.4,10.6,23261
Croatia,43,very_high,0.851,8,8.7,20.5,94.6,97.4,45.4,57.5,78.5,15.2,11.4,28070
Qatar,45,very_high,0.848,9,9.9,9.8,76.1,66.2,56.8,94.7,80.2,12,9.7,92418
Argentina,46,very_high,0.845,39,62.8,39.9,59.2,54.8,50.7,72.7,76.7,17.7,10.9,21190
Brunei Darussalam,47,very_high,0.838,31,10.3,9.1,69.5,70.7,57.8,71,75.9,14.3,9.1,63965
Montenegro,48,very_high,0.829,6,9.3,28.4,88,98.2,46.5,62.8,76.9,15,11.6,21399
Romania,49,very_high,0.828,19,36.2,19.6,88.2,93.6,45.3,64.7,76.1,14.3,11.1,29497
Palau,50,very_high,0.826,NA,NA,13.8,96.9,97.3,NA,NA,73.9,15.8,12.5,19317
Kazakhstan,51,very_high,0.825,10,29.8,22.1,99.3,99.6,62.7,75.5,73.6,15.6,11.9,22857
Russian Federation,52,very_high,0.824,17,20.7,16.5,96.3,95.7,54.8,70.2,72.6,15,12.2,26157
