class,joindem,attrally,id,age,educ,degree,sex,polviews,racespeech,racehisp,num_action
Working,No But I Might,No But I Might,3,60,13,HS Diploma,Male,5,Allowed,White,3
Middle,Before Last Year,Before Last Year,6,57,17,College Degree,Female,5,Allowed,White,6
Working,No And I Will Not,No And I Will Not,10,31,15,Some College,Female,3,Allowed,Hispanic,2
Working,No And I Will Not,No And I Will Not,13,70,8,Less Than HS,Male,3,Allowed,White,0
Lower,No And I Will Not,No And I Will Not,17,52,13,HS Diploma,Female,7,Not allowed,Other,0
Working,No And I Will Not,No And I Will Not,18,47,13,HS Diploma,Male,4,Allowed,White,0
Middle,No And I Will Not,No And I Will Not,20,40,8,Less Than HS,Female,4,Not allowed,Hispanic,0
Working,No But I Might,No But I Might,25,39,15,HS Diploma,Female,2,Allowed,Hispanic,0
Working,Before Last Year,Before Last Year,30,55,16,College Degree,Male,1,Allowed,White,7
Working,Before Last Year,No And I Will Not,34,48,16,College Degree,Male,4,Allowed,White,4
Lower,No And I Will Not,Before Last Year,37,39,11,Less Than HS,Female,3,Not allowed,Hispanic,1
Middle,No But I Might,Before Last Year,41,62,17,College Degree,Female,4,Allowed,White,6
Middle,No And I Will Not,No And I Will Not,47,31,15,Some College,Male,6,Not allowed,White,1
Middle,No And I Will Not,No And I Will Not,48,60,11,HS Diploma,Male,4,Allowed,White,0
Working,No But I Might,No But I Might,53,30,14,Some College,Male,2,Not allowed,Hispanic,4
Middle,Before Last Year,No And I Will Not,55,52,18,Grad/Prof Degree,Male,5,Allowed,Other,3
Lower,Before Last Year,Before Last Year,57,64,15,HS Diploma,Female,5,Allowed,White,6
Working,No But I Might,No But I Might,61,52,16,Grad/Prof Degree,Male,5,Allowed,White,2
Middle,No And I Will Not,No But I Might,64,48,16,Grad/Prof Degree,Female,4,Allowed,Other,2
Middle,No But I Might,No But I Might,65,35,20,Grad/Prof Degree,Male,5,Not allowed,Other,0
Upper,No But I Might,No But I Might,66,70,16,Grad/Prof Degree,Male,2,Allowed,White,6
Upper,No And I Will Not,Before Last Year,67,66,16,College Degree,Female,7,Not allowed,White,1
Working,No And I Will Not,No But I Might,69,25,16,College Degree,Male,5,Allowed,White,1
Working,No But I Might,No But I Might,70,33,12,HS Diploma,Male,4,Not allowed,White,0
Middle,In Past Year,In Past Year,75,40,20,Grad/Prof Degree,Female,2,Allowed,White,8
Upper,Before Last Year,In Past Year,78,59,16,College Degree,Female,3,Not allowed,White,5
Working,No And I Will Not,No And I Will Not,82,41,10,Less Than HS,Female,2,Allowed,Hispanic,0
Working,No But I Might,No And I Will Not,88,42,16,College Degree,Male,4,Allowed,Black,0
Middle,No And I Will Not,No And I Will Not,92,73,12,HS Diploma,Female,4,Not allowed,Hispanic,0
Middle,Before Last Year,Before Last Year,93,28,16,College Degree,Female,3,Allowed,Black,7
Working,No But I Might,No But I Might,96,27,14,Some College,Female,5,Not allowed,Black,1
Working,No But I Might,Before Last Year,97,29,13,HS Diploma,Female,4,Allowed,Hispanic,3
Working,No But I Might,No But I Might,98,38,12,HS Diploma,Female,6,Not allowed,Black,1
Middle,No But I Might,No But I Might,99,18,17,Grad/Prof Degree,Female,4,Not allowed,Black,3
Working,No But I Might,No But I Might,103,66,12,HS Diploma,Female,6,Not allowed,Black,1
Middle,Before Last Year,Before Last Year,119,45,20,Grad/Prof Degree,Male,2,Not allowed,Hispanic,7
Working,Before Last Year,Before Last Year,121,42,16,College Degree,Male,2,Allowed,White,8
Middle,Before Last Year,In Past Year,126,69,19,Grad/Prof Degree,Female,4,Allowed,White,7
Working,No But I Might,No But I Might,129,30,16,Some College,Female,4,Not allowed,Black,1
Working,Before Last Year,No And I Will Not,133,55,14,HS Diploma,Female,4,Not allowed,Black,4
Middle,Before Last Year,Before Last Year,134,65,18,Grad/Prof Degree,Female,2,Allowed,Black,5
Middle,No But I Might,No But I Might,136,31,20,Grad/Prof Degree,Female,3,Allowed,Hispanic,3
Middle,No But I Might,No But I Might,137,62,20,Grad/Prof Degree,Male,7,Allowed,White,3
Working,No And I Will Not,No And I Will Not,139,42,20,Grad/Prof Degree,Male,4,Allowed,Hispanic,0
Middle,No And I Will Not,No But I Might,140,58,16,College Degree,Female,5,Not allowed,Other,2
Middle,No But I Might,No But I Might,142,41,20,Grad/Prof Degree,Male,6,Allowed,White,1
Working,No But I Might,Before Last Year,148,46,18,Grad/Prof Degree,Female,2,Allowed,White,5
Lower,In Past Year,No And I Will Not,159,52,6,Less Than HS,Male,5,Not allowed,Hispanic,2
Middle,No And I Will Not,No And I Will Not,166,83,12,HS Diploma,Female,4,Allowed,White,0
Working,No But I Might,No But I Might,167,51,14,Some College,Female,4,Allowed,White,4
Working,No But I Might,Before Last Year,173,56,14,Some College,Male,6,Allowed,Hispanic,3
Middle,No But I Might,In Past Year,174,63,17,Grad/Prof Degree,Female,5,Allowed,White,5
Middle,No And I Will Not,Before Last Year,175,78,12,HS Diploma,Female,4,Not allowed,White,3
Middle,No But I Might,No But I Might,176,47,16,College Degree,Male,2,Allowed,White,5
Working,Before Last Year,Before Last Year,189,49,16,College Degree,Male,3,Allowed,Black,4
Working,No And I Will Not,No But I Might,190,32,14,HS Diploma,Male,4,Not allowed,Black,3
Working,No And I Will Not,No And I Will Not,193,27,12,HS Diploma,Female,2,Not allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,194,55,10,Less Than HS,Female,4,Not allowed,Hispanic,0
Middle,No And I Will Not,No And I Will Not,196,80,12,HS Diploma,Female,4,Not allowed,White,1
Working,No And I Will Not,No And I Will Not,198,28,12,HS Diploma,Male,2,Allowed,Hispanic,2
Working,Before Last Year,No And I Will Not,202,26,13,HS Diploma,Male,4,Allowed,Black,2
Lower,No And I Will Not,No And I Will Not,204,35,5,Less Than HS,Female,4,Allowed,Black,1
Working,No But I Might,No And I Will Not,207,35,11,HS Diploma,Female,2,Not allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,208,23,11,Less Than HS,Female,4,Allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,212,55,6,Less Than HS,Female,5,Not allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,216,20,12,HS Diploma,Male,4,Allowed,Black,0
Middle,No But I Might,No But I Might,218,47,16,HS Diploma,Male,4,Allowed,Other,4
Upper,Before Last Year,Before Last Year,227,62,17,Grad/Prof Degree,Male,2,Allowed,White,6
Lower,No And I Will Not,No And I Will Not,228,79,13,HS Diploma,Female,4,Not allowed,Black,0
Middle,Before Last Year,No But I Might,233,38,14,Some College,Male,2,Allowed,Hispanic,2
Working,No But I Might,No But I Might,238,31,16,College Degree,Female,2,Not allowed,White,2
Lower,No And I Will Not,No And I Will Not,240,47,5,Less Than HS,Female,5,Not allowed,Hispanic,0
Working,No And I Will Not,No And I Will Not,245,59,2,Less Than HS,Male,4,Not allowed,Hispanic,0
Middle,No And I Will Not,No And I Will Not,248,89,12,HS Diploma,Male,7,Allowed,White,0
Working,No But I Might,No But I Might,255,46,12,HS Diploma,Female,4,Allowed,White,5
Middle,No And I Will Not,No And I Will Not,262,43,11,Less Than HS,Female,5,Not allowed,Hispanic,0
Middle,No And I Will Not,No And I Will Not,265,81,11,Less Than HS,Female,4,Not allowed,White,1
Middle,No But I Might,Before Last Year,272,82,16,College Degree,Male,6,Allowed,White,5
Middle,No And I Will Not,No And I Will Not,273,64,16,College Degree,Female,5,Not allowed,Black,0
Working,Before Last Year,No But I Might,274,49,12,HS Diploma,Male,4,Not allowed,Black,3
Middle,No And I Will Not,No And I Will Not,275,49,12,HS Diploma,Female,4,Not allowed,Hispanic,0
Middle,No And I Will Not,No And I Will Not,276,58,13,HS Diploma,Male,5,Allowed,Black,1
Middle,No And I Will Not,No And I Will Not,277,30,14,HS Diploma,Female,2,Not allowed,Hispanic,2
Middle,No And I Will Not,No And I Will Not,289,40,10,Less Than HS,Female,5,Allowed,Hispanic,0
Working,No But I Might,In Past Year,291,40,15,HS Diploma,Female,6,Allowed,White,6
Middle,No And I Will Not,Before Last Year,294,82,10,Less Than HS,Female,4,Not allowed,White,2
Working,No And I Will Not,In Past Year,297,32,15,HS Diploma,Female,3,Allowed,White,3
Middle,Before Last Year,Before Last Year,298,62,12,HS Diploma,Male,7,Allowed,Hispanic,5
Middle,No But I Might,No But I Might,303,85,16,Grad/Prof Degree,Female,5,Allowed,White,2
Middle,No And I Will Not,No And I Will Not,308,79,8,Less Than HS,Female,2,Not allowed,White,1
Working,No And I Will Not,No And I Will Not,310,74,11,Less Than HS,Female,6,Allowed,Hispanic,1
Middle,No But I Might,No But I Might,312,31,20,Grad/Prof Degree,Female,3,Allowed,White,4
Working,No And I Will Not,No And I Will Not,315,41,12,HS Diploma,Female,5,Allowed,Black,0
Working,No And I Will Not,No But I Might,326,51,12,HS Diploma,Female,4,Not allowed,Hispanic,1
Working,No But I Might,No But I Might,327,37,9,HS Diploma,Female,3,Not allowed,Hispanic,3
Middle,No But I Might,No But I Might,328,35,15,HS Diploma,Female,3,Allowed,Hispanic,2
Middle,Before Last Year,Before Last Year,341,40,18,HS Diploma,Female,3,Allowed,Other,7
Middle,In Past Year,In Past Year,350,43,20,Grad/Prof Degree,Female,2,Not allowed,White,8
Middle,No But I Might,Before Last Year,351,71,18,Grad/Prof Degree,Male,6,Allowed,White,6
Middle,No But I Might,No And I Will Not,353,54,13,HS Diploma,Female,3,Not allowed,White,2
Working,No But I Might,No But I Might,356,29,13,HS Diploma,Male,2,Allowed,Other,2
Lower,No And I Will Not,No But I Might,359,36,11,Less Than HS,Female,4,Allowed,White,6
Middle,Before Last Year,In Past Year,360,51,16,Grad/Prof Degree,Female,2,Allowed,White,6
Working,No But I Might,Before Last Year,363,33,17,HS Diploma,Female,1,Allowed,White,6
Middle,No But I Might,No But I Might,366,50,16,College Degree,Male,6,Allowed,White,4
Middle,No But I Might,No But I Might,369,50,16,College Degree,Female,4,Allowed,White,3
Upper,No And I Will Not,No And I Will Not,372,68,20,Grad/Prof Degree,Male,4,Allowed,Other,1
Middle,No And I Will Not,No But I Might,373,70,16,College Degree,Female,6,Allowed,White,2
Middle,No But I Might,In Past Year,374,66,15,HS Diploma,Male,5,Not allowed,White,3
Middle,No But I Might,No But I Might,375,53,12,HS Diploma,Male,6,Allowed,White,4
Middle,Before Last Year,No But I Might,377,61,13,HS Diploma,Male,2,Allowed,White,2
Middle,No And I Will Not,No But I Might,380,37,18,Grad/Prof Degree,Female,4,Not allowed,White,1
Working,No And I Will Not,No But I Might,382,20,10,Less Than HS,Male,4,Not allowed,White,0
Lower,No And I Will Not,No And I Will Not,387,39,15,Some College,Female,4,Not allowed,Black,1
Middle,Before Last Year,Before Last Year,400,65,16,College Degree,Female,2,Allowed,White,7
Working,No But I Might,No But I Might,401,42,12,HS Diploma,Female,4,Allowed,White,3
Working,No But I Might,No But I Might,402,59,12,HS Diploma,Male,6,Allowed,White,2
Middle,No And I Will Not,No But I Might,411,36,19,Grad/Prof Degree,Male,3,Allowed,White,2
Working,No And I Will Not,No And I Will Not,412,73,13,HS Diploma,Female,6,Allowed,White,1
Working,No But I Might,No But I Might,417,38,16,College Degree,Female,3,Allowed,Black,5
Middle,No But I Might,No But I Might,418,36,17,College Degree,Female,3,Not allowed,White,3
Middle,No But I Might,No But I Might,419,63,13,HS Diploma,Female,4,Not allowed,Black,1
Working,No And I Will Not,Before Last Year,421,71,16,College Degree,Male,6,Allowed,White,4
Middle,No But I Might,Before Last Year,425,56,20,Grad/Prof Degree,Male,5,Allowed,White,5
Middle,No And I Will Not,No And I Will Not,429,43,9,Less Than HS,Male,4,Not allowed,Hispanic,0
Middle,No But I Might,No But I Might,434,19,11,Less Than HS,Female,3,Allowed,Black,1
Middle,Before Last Year,Before Last Year,435,42,11,HS Diploma,Male,4,Allowed,White,8
Middle,No But I Might,No But I Might,436,57,18,Grad/Prof Degree,Male,6,Allowed,White,4
Middle,No And I Will Not,No But I Might,437,46,12,HS Diploma,Male,4,Allowed,White,1
Working,No But I Might,In Past Year,440,26,16,Grad/Prof Degree,Female,3,Not allowed,Other,4
Middle,No And I Will Not,No And I Will Not,442,37,20,Grad/Prof Degree,Male,4,Allowed,White,1
Working,No But I Might,No But I Might,443,66,12,HS Diploma,Male,2,Allowed,White,4
Working,In Past Year,In Past Year,453,32,19,Grad/Prof Degree,Male,4,Allowed,Black,6
Middle,Before Last Year,Before Last Year,454,33,20,Grad/Prof Degree,Male,1,Allowed,White,7
Lower,No And I Will Not,No But I Might,460,66,13,HS Diploma,Male,4,Not allowed,White,4
