"year","age","eqwlth","conlegis","degree","racehisp"
2010,31,3,"Only some","Bachelor's Degree","Hispanic"
2010,23,2,"Hardly any","Bachelor's Degree","White"
2010,82,7,"Only some","Less than HS","Hispanic"
2010,78,1,NA,"Less than HS","Black"
2010,40,4,"Only some","Less than HS","Black"
2010,46,4,"Only some","Some College","Black"
2010,31,4,"A great deal","HS Diploma","Black"
2010,31,1,"A great deal","Some College","Black"
2010,57,7,"Hardly any","Less than HS","White"
2010,28,1,"Hardly any","Less than HS","Hispanic"
2010,84,4,"Only some","Less than HS","White"
2010,51,1,"Only some","HS Diploma","Hispanic"
2010,35,1,"Only some","Bachelor's Degree","White"
2010,49,4,"Only some","HS Diploma","White"
2010,23,4,"A great deal","Less than HS","Black"
2010,35,1,"Only some","Grad/Prof Degree","White"
2010,26,6,"Only some","Bachelor's Degree","Hispanic"
2010,21,1,"Only some","Some College","Other"
2010,53,3,"Hardly any","Bachelor's Degree","White"
2010,63,2,"Only some","Grad/Prof Degree","White"
2010,34,5,"Only some","Grad/Prof Degree","White"
2010,78,5,"Only some","Bachelor's Degree","White"
2010,43,3,"Hardly any","Grad/Prof Degree","White"
2010,84,2,"Hardly any","Bachelor's Degree","White"
2010,83,3,"Hardly any","HS Diploma","White"
2010,24,3,"Only some","Bachelor's Degree","White"
2010,33,2,"Hardly any","Grad/Prof Degree","Other"
2010,25,1,"Only some","Grad/Prof Degree","Hispanic"
2010,20,1,"Hardly any","HS Diploma","Hispanic"
2010,37,1,"Only some","HS Diploma","Hispanic"
2010,64,7,"A great deal","HS Diploma","Black"
2010,45,7,"Hardly any","HS Diploma","White"
2010,40,7,"Only some","HS Diploma","Hispanic"
2010,80,1,"Hardly any","Bachelor's Degree","Black"
2010,60,7,"Hardly any","HS Diploma","White"
2010,49,6,"Only some","Bachelor's Degree","White"
2010,22,3,"Only some","Bachelor's Degree","White"
2010,63,5,"Hardly any","Grad/Prof Degree","White"
2010,72,1,"Hardly any","Bachelor's Degree","White"
2010,42,3,"Only some","Less than HS","Black"
2010,54,7,"Only some","Bachelor's Degree","Black"
2010,21,1,"Hardly any","HS Diploma","Black"
2010,31,6,"Only some","Bachelor's Degree","White"
2010,41,3,"A great deal","Some College","Hispanic"
2010,19,5,"Only some","HS Diploma","Hispanic"
2010,44,5,"Only some","Bachelor's Degree","White"
2010,45,5,"Only some","HS Diploma","White"
2010,28,3,"Only some","HS Diploma","White"
2010,46,3,"Only some","HS Diploma","White"
2010,50,1,"Only some","HS Diploma","White"
2010,40,7,"Hardly any","HS Diploma","White"
2010,42,3,"Hardly any","Grad/Prof Degree","White"
2010,19,1,"Only some","Less than HS","Other"
2010,39,1,"Hardly any","Some College","White"
2010,46,1,"Hardly any","Some College","White"
2010,66,5,"Hardly any","HS Diploma","White"
2010,88,7,"Hardly any","HS Diploma","White"
2010,45,4,"Hardly any","Some College","White"
2010,22,5,"Only some","HS Diploma","Black"
2010,23,6,"A great deal","Bachelor's Degree","White"
2010,23,3,"Only some","HS Diploma","Hispanic"
2010,80,6,"Hardly any","Less than HS","White"
2010,56,6,"Only some","Less than HS","Hispanic"
2010,24,4,NA,"Less than HS","Hispanic"
2010,20,4,"Only some","Less than HS","Hispanic"
2010,50,4,"Only some","HS Diploma","White"
2010,69,1,"Only some","Grad/Prof Degree","White"
2010,50,3,"A great deal","Bachelor's Degree","Other"
2010,59,4,NA,"HS Diploma","White"
2010,51,4,"Hardly any","Bachelor's Degree","White"
2010,19,4,"A great deal","Less than HS","Black"
2010,35,4,"Only some","Bachelor's Degree","White"
2010,64,4,"Hardly any","Grad/Prof Degree","White"
2010,44,4,"Hardly any","HS Diploma","White"
2010,40,3,"Hardly any","Grad/Prof Degree","White"
2010,65,1,"Hardly any","HS Diploma","White"
2010,46,3,"Hardly any","Grad/Prof Degree","Other"
2010,21,1,"Only some","Less than HS","Hispanic"
2010,24,5,"Only some","HS Diploma","White"
2010,36,5,"Only some","Less than HS","Hispanic"
2010,32,5,"A great deal","HS Diploma","White"
2010,63,3,"Only some","HS Diploma","White"
2010,80,4,"Only some","Bachelor's Degree","White"
2010,24,7,"A great deal","Less than HS","Hispanic"
2010,37,1,NA,"Bachelor's Degree","White"
2010,52,4,"Only some","Less than HS","Hispanic"
2010,49,4,"Only some","Grad/Prof Degree","White"
2010,42,1,"Only some","Less than HS","Hispanic"
2010,42,7,NA,"Less than HS","White"
2010,37,5,"Hardly any","HS Diploma","White"
2010,51,7,"Hardly any","HS Diploma","Hispanic"
2010,39,4,NA,"HS Diploma","White"
2010,47,7,"Only some","HS Diploma","White"
2010,49,6,"Only some","Grad/Prof Degree","Other"
2010,20,3,"A great deal","HS Diploma","White"
2010,70,4,"Hardly any","Less than HS","Hispanic"
2010,42,5,"Only some","Less than HS","Hispanic"
2010,40,4,NA,"HS Diploma","White"
2010,34,6,"Hardly any","Bachelor's Degree","Other"
2010,25,4,"Only some","Less than HS","Hispanic"
2010,54,5,"Only some","HS Diploma","Hispanic"
2010,58,4,"Only some","HS Diploma","Hispanic"
2010,34,5,"Only some","Less than HS","Hispanic"
2010,20,5,"Only some","HS Diploma","Hispanic"
2010,41,3,"A great deal","HS Diploma","Black"
2010,40,2,"Only some","Grad/Prof Degree","White"
2010,71,2,"Only some","Bachelor's Degree","White"
2010,23,3,"Only some","HS Diploma","Hispanic"
2010,49,1,"Hardly any","HS Diploma","White"
2010,44,3,"Only some","Some College","White"
2010,20,3,"Only some","HS Diploma","White"
2010,29,5,"Only some","HS Diploma","White"
2010,56,4,"Only some","Grad/Prof Degree","White"
2010,24,5,"Hardly any","HS Diploma","White"
2010,60,4,"Hardly any","HS Diploma","White"
2010,51,5,"Hardly any","HS Diploma","White"
2010,23,3,"Only some","HS Diploma","White"
2010,46,7,"Hardly any","Less than HS","White"
2010,29,5,"Only some","Bachelor's Degree","Hispanic"
2010,39,5,"Only some","Some College","White"
2010,33,2,"Only some","Grad/Prof Degree","White"
2010,24,1,"Only some","HS Diploma","Black"
2010,34,3,"Only some","HS Diploma","Hispanic"
2010,30,5,"Only some","Bachelor's Degree","White"
2010,25,1,"Hardly any","Bachelor's Degree","White"
2010,41,3,"Only some","Bachelor's Degree","White"
2010,37,1,"Hardly any","Some College","Other"
2010,48,3,"Only some","Bachelor's Degree","White"
2010,30,7,"Hardly any","Grad/Prof Degree","White"
2010,34,7,"Hardly any","Grad/Prof Degree","Other"
2010,67,6,"Hardly any","Bachelor's Degree","Other"
2010,80,7,"Hardly any","Grad/Prof Degree","White"
2010,52,1,"Only some","HS Diploma","White"
2010,29,2,"Only some","Bachelor's Degree","Hispanic"
2010,42,3,"Only some","Grad/Prof Degree","Black"
2010,61,1,"A great deal","Less than HS","Black"
2010,44,5,"A great deal","HS Diploma","Black"
2010,28,1,"Hardly any","HS Diploma","Black"
2010,27,1,"Hardly any","Bachelor's Degree","White"
2010,18,6,"Only some","Less than HS","Hispanic"
2010,35,2,"Hardly any","Less than HS","Hispanic"
2010,32,1,"Only some","Less than HS","Hispanic"
2010,63,1,"Only some","Grad/Prof Degree","Black"
2010,52,7,"Hardly any","Grad/Prof Degree","Other"
2010,25,5,"A great deal","Bachelor's Degree","White"
2010,70,6,"Hardly any","HS Diploma","White"
2010,24,3,"Only some","Bachelor's Degree","Black"
2010,68,4,"Hardly any","Bachelor's Degree","White"
2010,22,3,"Only some","Bachelor's Degree","White"
2010,58,1,"A great deal","Bachelor's Degree","White"
2010,75,2,"Only some","Bachelor's Degree","Other"
2010,76,7,"Hardly any","HS Diploma","White"
2010,79,7,"Hardly any","HS Diploma","White"
2010,29,5,"Only some","Bachelor's Degree","Hispanic"
2010,60,4,"Only some","Bachelor's Degree","White"
2010,36,2,"Only some","HS Diploma","White"
2010,75,7,"Hardly any","HS Diploma","White"
2010,35,3,"Hardly any","Less than HS","White"
2010,54,5,"Hardly any","HS Diploma","White"
2010,45,5,"Hardly any","HS Diploma","White"
2010,58,5,"Hardly any","Bachelor's Degree","White"
2010,46,1,"Hardly any","Bachelor's Degree","Hispanic"
2010,58,1,"Only some","HS Diploma","Hispanic"
2010,40,5,"Hardly any","Bachelor's Degree","White"
2010,44,1,"Hardly any","HS Diploma","White"
2010,80,5,"Only some","HS Diploma","White"
2010,72,3,"Hardly any","HS Diploma","White"
2010,76,1,"Only some","HS Diploma","White"
2010,43,5,"Hardly any","Bachelor's Degree","White"
2010,73,4,"Only some","HS Diploma","White"
2010,73,6,"Hardly any","Bachelor's Degree","White"
2010,60,2,"Hardly any","Grad/Prof Degree","White"
2010,42,1,"Only some","Some College","Hispanic"
2010,51,3,"Only some","Grad/Prof Degree","White"
2010,21,4,"A great deal","HS Diploma","White"
2010,30,1,"Only some","Less than HS","White"
2010,45,4,"Hardly any","HS Diploma","White"
2010,35,4,"A great deal","HS Diploma","Other"
2010,67,5,"Only some","Grad/Prof Degree","White"
2010,19,3,"Only some","HS Diploma","White"
2010,70,5,"Only some","Bachelor's Degree","White"
2010,60,5,"Only some","Grad/Prof Degree","White"
2010,57,4,"Hardly any","Bachelor's Degree","White"
2010,43,5,"Hardly any","Bachelor's Degree","White"
2010,45,7,"Only some","Bachelor's Degree","White"
2010,29,1,"Hardly any","HS Diploma","Hispanic"
2010,37,1,"Hardly any","Bachelor's Degree","Other"
2010,63,3,"Hardly any","Bachelor's Degree","White"
2010,62,4,"Hardly any","Bachelor's Degree","Black"
2010,28,6,"A great deal","Bachelor's Degree","Black"
2010,61,5,"Only some","Bachelor's Degree","Black"
2010,55,1,"Hardly any","Some College","White"
2010,49,1,"Hardly any","HS Diploma","White"
2010,24,4,"Hardly any","Bachelor's Degree","White"
2010,26,4,"Hardly any","HS Diploma","White"
2010,48,3,"Hardly any","Grad/Prof Degree","White"
2010,64,2,"Only some","Grad/Prof Degree","White"
2010,23,1,"Only some","HS Diploma","Other"
2010,73,4,"Only some","HS Diploma","Hispanic"
2010,30,4,"Hardly any","HS Diploma","Hispanic"
2010,39,4,"Only some","HS Diploma","White"
2010,50,2,"Only some","HS Diploma","Hispanic"
2010,51,4,"Only some","HS Diploma","White"
2010,29,3,"A great deal","HS Diploma","Hispanic"
2010,68,5,"Hardly any","HS Diploma","Black"
2010,63,7,"Hardly any","Grad/Prof Degree","White"
2010,62,6,"Hardly any","Bachelor's Degree","White"
2010,52,2,"Hardly any","Some College","Other"
2010,46,1,"Hardly any","Less than HS","Other"
2010,19,3,"A great deal","Less than HS","White"
2010,72,1,"Hardly any","Grad/Prof Degree","White"
2010,77,4,"Only some","Less than HS","Other"
2010,26,4,"Only some","HS Diploma","White"
2010,65,7,"Hardly any","HS Diploma","White"
2010,79,5,"A great deal","HS Diploma","Black"
2010,82,1,"Hardly any","Bachelor's Degree","Black"
2010,51,1,"Hardly any","HS Diploma","Black"
2010,46,1,"Hardly any","HS Diploma","Black"
2010,40,3,"Only some","HS Diploma","Black"
2010,56,3,"Hardly any","Some College","White"
2010,79,1,"Only some","HS Diploma","White"
2010,37,7,"A great deal","Less than HS","Black"
2010,30,7,"Hardly any","HS Diploma","Hispanic"
2010,79,7,"Only some","HS Diploma","White"
2010,71,3,"Only some","HS Diploma","White"
2010,40,3,"Hardly any","HS Diploma","Black"
2010,85,3,"A great deal","HS Diploma","White"
2010,62,7,"A great deal","Bachelor's Degree","White"
2010,30,1,"Only some","HS Diploma","Black"
2010,28,4,"Only some","Bachelor's Degree","Black"
2010,27,3,"Only some","Grad/Prof Degree","Black"
2010,38,5,"Only some","Less than HS","White"
2010,67,1,"Only some","Grad/Prof Degree","White"
2010,69,4,"Hardly any","HS Diploma","White"
2010,40,3,"Only some","HS Diploma","White"
2010,81,6,"Only some","Grad/Prof Degree","White"
2010,56,7,"Only some","Some College","White"
2010,19,4,"Only some","HS Diploma","White"
2010,25,5,"Hardly any","Grad/Prof Degree","White"
2010,18,6,"A great deal","Less than HS","Black"
2010,51,5,"Hardly any","HS Diploma","White"
2010,19,1,"Only some","Less than HS","White"
2010,53,5,"Hardly any","Bachelor's Degree","White"
2010,67,3,"Hardly any","HS Diploma","White"
2010,40,4,"Only some","HS Diploma","Black"
2010,55,4,"Only some","HS Diploma","Black"
2010,29,4,"Only some","HS Diploma","Hispanic"
2010,66,3,"Only some","Some College","Black"
2010,77,6,"Only some","HS Diploma","Other"
2010,45,7,"Only some","HS Diploma","Hispanic"
2010,69,2,"A great deal","Less than HS","Black"
2010,54,7,"Only some","Less than HS","Hispanic"
2010,40,1,"Hardly any","HS Diploma","Hispanic"
2010,60,1,"A great deal","HS Diploma","Hispanic"
2010,81,7,"Only some","HS Diploma","White"
2010,30,5,"Only some","HS Diploma","Hispanic"
2010,41,1,"Only some","Bachelor's Degree","Hispanic"
2010,38,3,"Only some","HS Diploma","Hispanic"
2010,54,4,"Hardly any","HS Diploma","White"
2010,37,5,"Only some","HS Diploma","White"
2010,65,2,"Only some","Grad/Prof Degree","White"
2010,43,1,"Hardly any","Less than HS","Black"
2010,59,2,"Only some","HS Diploma","Black"
2010,43,7,"Hardly any","HS Diploma","Black"
2010,81,1,"Only some","HS Diploma","White"
2010,56,6,"Only some","HS Diploma","White"
2010,21,1,"A great deal","HS Diploma","Black"
2010,62,3,"Hardly any","HS Diploma","Black"
2010,49,7,"Only some","HS Diploma","Hispanic"
2010,50,2,"Only some","HS Diploma","Black"
2010,54,2,"Only some","HS Diploma","White"
2010,89,1,"Hardly any","Less than HS","White"
