hrs,year,getahead,class,health,sex,educ,racehisp
,2010,Hard work,Lower class,Fair,Female,8,Hispanic
,2010,Hard work,Middle class,Poor,Female,0,Black
45,2010,Both equally,Working class,Good,Female,16,Black
,2010,Both equally,Lower class,Good,Female,15,Black
40,2010,Both equally,Working class,Excellent,Female,14,Black
48,2010,Hard work,Middle class,Excellent,Female,14,Hispanic
,2010,Both equally,Working class,Good,Male,13,Other
40,2010,Luck or help,Working class,Excellent,Male,12,Black
,2010,Both equally,Working class,Good,Female,13,Hispanic
,2010,Hard work,Working class,Fair,Female,10,Hispanic
,2010,Luck or help,Middle class,Fair,Female,14,White
,2010,Both equally,Working class,Good,Male,12,Hispanic
,2010,Both equally,Middle class,Fair,Female,10,Black
89,2010,Both equally,Middle class,Excellent,Female,16,Hispanic
,2010,Hard work,,Excellent,Female,15,Other
40,2010,Both equally,Working class,Good,Female,16,White
20,2010,Both equally,Upper class,Good,Female,20,White
,2010,Both equally,Middle class,Good,Male,18,White
,2010,Hard work,Middle class,,Male,15,White
,2010,Both equally,Middle class,Excellent,Female,16,White
60,2010,Hard work,Middle class,Excellent,Male,15,Hispanic
3,2010,Both equally,Middle class,Excellent,Female,16,White
40,2010,Hard work,Working class,Good,Male,16,White
,2010,Hard work,Middle class,Excellent,Male,18,White
40,2010,Hard work,Middle class,Excellent,Male,17,White
24,2010,Hard work,Working class,Fair,Female,13,White
40,2010,Hard work,Working class,Poor,Female,13,Hispanic
,2010,Hard work,Working class,Fair,Male,12,Black
32,2010,Luck or help,Working class,Fair,Male,16,Black
,2010,Hard work,Working class,Good,Female,15,White
46,2010,Hard work,Working class,Poor,Female,14,Black
36,2010,Hard work,Working class,Excellent,Female,16,Black
40,2010,Luck or help,Middle class,Good,Female,16,White
,2010,Hard work,Working class,Good,Male,12,Hispanic
40,2010,Hard work,Middle class,Good,Male,16,White
40,2010,Hard work,Working class,Excellent,Female,16,White
48,2010,Hard work,Middle class,Excellent,Male,13,White
35,2010,Hard work,Middle class,Good,Female,20,White
,2010,Both equally,Working class,Fair,Female,11,Other
50,2010,Both equally,Working class,Good,Male,14,White
50,2010,Hard work,Working class,Excellent,Female,16,White
,2010,Hard work,Working class,Good,Female,12,White
68,2010,Both equally,Working class,Good,Male,12,White
,2010,Hard work,Working class,Excellent,Female,12,White
40,2010,Hard work,Middle class,Excellent,Female,18,White
20,2010,Hard work,Working class,Excellent,Female,14,White
,2010,Luck or help,Lower class,Excellent,Male,12,White
40,2010,Both equally,Working class,Excellent,Male,16,White
52,2010,Hard work,Working class,Good,Female,16,White
35,2010,Hard work,Middle class,Fair,Female,12,Hispanic
40,2010,Hard work,Working class,Good,Male,12,White
30,2010,Both equally,Working class,Fair,Female,8,Hispanic
41,2010,Luck or help,Working class,Fair,Female,16,Black
35,2010,Both equally,Working class,Fair,Female,8,Hispanic
38,2010,Hard work,Working class,Good,Female,16,Black
70,2010,Luck or help,Middle class,Good,Male,16,Other
35,2010,Both equally,Working class,Excellent,Female,14,White
48,2010,Luck or help,Working class,Good,Male,12,White
,2010,Hard work,Middle class,Fair,Female,16,Other
32,2010,Hard work,Working class,Fair,Male,11,Hispanic
50,2010,Hard work,Middle class,Fair,Female,13,White
,2010,Hard work,Working class,Fair,Female,12,White
7,2010,Hard work,Middle class,Excellent,Male,20,White
24,2010,Both equally,Middle class,Excellent,Female,16,White
60,2010,Both equally,Middle class,Excellent,Female,16,White
40,2010,Hard work,Working class,Excellent,Female,18,White
,2010,Both equally,Middle class,Excellent,Female,16,White
40,2010,Both equally,Middle class,Good,Male,16,White
50,2010,Luck or help,Middle class,Excellent,Male,19,White
,2010,Luck or help,Working class,Excellent,Male,16,White
12,2010,Hard work,Working class,Good,Female,12,Hispanic
30,2010,Luck or help,Working class,Good,Male,11,Hispanic
,2010,Hard work,Working class,Fair,Female,15,Hispanic
40,2010,Hard work,Working class,Good,Female,12,White
15,2010,Hard work,Middle class,Good,Male,14,White
40,2010,Hard work,Working class,Good,Male,13,White
89,2010,Hard work,Middle class,Excellent,Male,18,White
,2010,Hard work,Working class,Excellent,Female,16,White
40,2010,Hard work,Middle class,Good,Male,8,Hispanic
50,2010,Hard work,Working class,Fair,Male,16,White
40,2010,Hard work,Working class,Excellent,Female,12,White
24,2010,Hard work,Working class,Excellent,Female,12,White
60,2010,Hard work,Middle class,Good,Male,14,Hispanic
24,2010,Hard work,Middle class,Fair,Male,16,Other
50,2010,Hard work,Middle class,Good,Male,15,White
20,2010,Hard work,Middle class,Excellent,Male,17,White
45,2010,Both equally,Middle class,Good,Male,16,White
